scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
ocs_eps_global_ksp,1.899,17,17,17
pure_ocs_ksp,1.434,17,17,17
eps_ecmp,0.612,17,17,17
ocs_eps_large_small,2.071,17,17,17
pure_ocs_ksp_greedy,1.390,17,17,17
ocs_eps_preset_greedy,2.120,17,17,17
ocs_eps_preset_dynamic_greedy,1.000,17,17,17
pure_ocs_3hop_preset,1.746,17,17,17
pure_ocs_pruned,1.746,17,17,17
ocs_eps_pruned,1.139,17,17,17
