scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
ocs_eps_global_ksp,10,1.382,0.142
pure_ocs_ksp,10,1.041,0.054
eps_ecmp,10,1.168,0.086
pure_ocs_ksp_greedy,10,1.024,0.069
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_pruned,10,0.994,0.038
ocs_eps_pruned,10,0.995,0.039
ocs_eps_large_small,10,1.386,0.380
ocs_eps_preset_greedy,10,1.016,0.040
pure_ocs_3hop_preset,10,0.994,0.038
