model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,47,0.696429,"[0,1,2,3,5,8,9,12,13,14,15,16,19,20,21,22,25,26,28,30,35,36,37,41,43,44,45,48,49,50,54,56,58,61,62,63,64,65,66,67,69,71,72,73,76,77,78]","[535,119,439,7,207,23,303,102]|[575,175,286,511,78,333,542,183]|[398,47,367,503,159,15,30,349]|[591,231,287,103,101,79,295,247]|[71,334,399,470,110,455,631,559]|[623,519,391,510,230,630,351,359]|[527,543,350,615,495,167,407,135]|[215,583,127,31,100,335,471,111]"
L2,L,64,8,64,47,0.696429,"[0,1,2,3,4,5,7,9,17,18,19,20,21,24,26,27,29,30,31,32,34,35,38,40,42,44,45,46,47,49,50,52,54,55,60,61,62,64,66,69,72,73,74,76,77,78,79]","[311,622,46,22,637,502,285,29]|[45,143,383,199,279,598,597,38]|[438,366,534,166,382,39,61,365]|[375,173,364,613,246,614,599,628]|[423,223,487,343,447,558,62,638]|[239,494,214,358,6,77,582,327]|[629,245,174,76,255,263,397,406]|[21,639,590,14,158,63,151,518]"
L3,L,64,8,64,47,0.696429,"[6,10,12,14,16,18,19,23,24,25,26,27,28,29,31,32,33,34,36,37,38,39,41,44,45,46,47,48,49,52,53,54,56,57,59,61,62,63,64,67,68,69,70,72,73,75,78]","[198,222,261,380,501,541,156,149]|[191,517,374,271,581,55,206,294]|[381,87,229,566,309,567,117,390]|[118,134,463,431,332,493,319,357]|[197,302,478,396,238,551,278,213]|[437,363,373,479,395,607,293,157]|[262,550,627,557,509,254,422,99]|[589,492,454,150,318,221,277,310]"
L4,L,64,9,64,48,0.709091,"[0,1,2,3,4,6,8,14,15,19,20,24,27,28,29,31,32,33,34,37,38,39,41,42,43,45,46,47,48,50,51,54,55,56,57,58,59,64,65,67,70,71,72,73,75,76,78,79]","[445,405,469,276,389,348,228,436]|[371,452,414,446,574,565,539,195]|[253,564,237,606,580,220,612,362]|[379,126,28,515,477,12,588,5]|[155,308,453,270,116,573,526,54]|[636,115,36,331,415,20,196,626]|[462,269,70,317,165,13,372,516]|[37,342,300,301,378,540,388,260]"
M1,M,40,6,40,30,0.705882,"[1,5,6,10,11,13,14,18,20,21,23,31,32,36,37,38,45,51,54,57,59,62,63,64,68,69,70,75,76,78]","[190,252,625,11,549]|[563,109,259,85,114]|[299,513,291,460,499]|[148,360,292,86,556]|[189,500,548,164,605]|[476,53,361,44,514]|[435,95,624,172,508]|[307,188,611,413,461]"
M2,M,40,6,40,30,0.705882,"[0,3,4,5,8,9,10,12,16,19,25,28,35,38,40,43,46,48,49,51,56,58,60,61,62,65,66,69,70,77]","[347,84,532,387,468]|[410,34,43,284,491]|[555,370,451,75,562]|[69,326,411,412,67]|[35,4,498,27,205]|[153,98,621,68,525]|[133,154,227,306,283]|[325,467,394,486,533]"
M3,M,40,6,40,30,0.705882,"[0,3,6,8,9,11,13,15,17,20,21,24,28,31,32,33,36,43,51,52,54,57,58,59,60,61,65,66,73,77]","[409,587,466,107,163]|[2,258,94,346,421]|[490,586,52,484,108]|[289,194,74,171,523]|[620,125,26,268,250]|[51,251,434,489,475]|[485,226,142,459,531]|[524,66,288,3,290]"
S1,S,32,5,32,24,0.703704,"[1,7,8,14,25,29,31,32,33,41,42,43,47,52,58,60,61,63,68,69,70,73,75,79]","[60,341,204,10]|[236,547,561,482]|[202,257,65,267]|[345,420,113,507]|[249,59,419,483]|[256,554,635,465]|[377,604,546,235]|[203,330,488,585]"
S2,S,32,6,32,24,0.692308,"[3,4,5,6,7,8,13,24,26,27,28,29,33,34,35,43,50,55,65,67,68,69,74,76]","[275,538,403,64]|[610,192,219,42]|[444,225,106,234]|[273,105,522,274]|[266,404,33,25]|[545,58,193,212]|[596,595,50,553]|[609,344,211,282]"
S3,S,32,6,32,24,0.692308,"[1,2,3,5,10,12,15,18,21,23,26,27,37,40,49,52,58,63,66,68,71,73,74,79]","[298,572,218,464]|[418,393,506,217]|[505,170,97,147]|[584,124,634,187]|[530,41,24,594]|[324,83,210,146]|[123,185,9,19]|[8,186,544,417]"
