scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.997,17,17,17
helios_t20,1.079,17,17,17
helios_t30,1.192,17,17,17
helios_t40,1.353,17,17,17
helios_t50,5.414,17,17,17
helios_t60,25.064,17,17,17
helios_t70,27.921,17,17,17
helios_t80,9.467,17,17,17
helios_t90,8.428,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,0.990,17,17,17
hyacinth_preset_t20,0.999,17,17,17
hyacinth_preset_t30,1.005,17,17,17
hyacinth_preset_t40,1.011,17,17,17
hyacinth_preset_t50,1.020,17,17,17
hyacinth_preset_t60,1.035,17,17,17
hyacinth_preset_t70,1.073,17,17,17
hyacinth_preset_t80,1.104,17,17,17
hyacinth_preset_t90,1.257,17,17,17
