1000,0.00
1442,0.0256691
2884,0.0511269
4326,0.076208
5768,0.1014361
7210,0.1260394
8652,0.151635
10094,0.1584243
11536,0.1657189
12978,0.1730779
15862,0.1880255
17304,0.1950721
18746,0.2028445
21630,0.2361757
23072,0.2526851
24514,0.2692037
25956,0.2858509
27398,0.3028289
28840,0.3105278
31724,0.3246761
34608,0.3393389
36050,0.3466244
37492,0.3531198
40376,0.3674059
41818,0.3749578
44702,0.3890694
46144,0.3961619
47586,0.4030707
50470,0.4169158
53354,0.4296585
54796,0.4357312
57680,0.4486944
59122,0.4550611
62006,0.4686582
63448,0.4754292
66332,0.4884383
67774,0.494704
70658,0.5076855
72100,0.514043
74984,0.5271807
76426,0.5336393
93730,0.543883
109592,0.5535479
126896,0.5643245
142758,0.5739251
160062,0.5849406
175924,0.5943942
191786,0.603315
269654,0.6125573
346080,0.6221028
423948,0.6323833
500374,0.6422779
576800,0.6520623
654668,0.6619753
731094,0.6720169
808962,0.6818931
885388,0.6918061
961814,0.7020131
1058428,0.7126243
1155042,0.7227119
1250214,0.7318991
1346828,0.7422623
1442000,0.7518905
1538614,0.7623272
1635228,0.771983
1730400,0.7828882
1827014,0.7925072
1922186,0.8022916
2210586,0.812177
2498986,0.8222829
2787386,0.8319938
3075786,0.8423662
3364186,0.8517555
3652586,0.8616593
3940986,0.8717652
4229386,0.8812648
4517786,0.8910676
4806186,0.9010082
11537442,0.9110406
13459628,0.9209536
15381814,0.9308942
17305442,0.9410736
19227628,0.9507661
21149814,0.9603484
23073442,0.97039
24995628,0.9802662
26917814,0.9905926
28840000,1
