scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.041,17,17,17
helios_t20,1.441,17,17,17
helios_t30,2.610,17,17,17
helios_t40,2.878,17,17,17
helios_t50,3.969,17,17,17
helios_t60,19.084,17,17,17
helios_t70,5.604,17,17,17
helios_t80,19.267,17,17,17
helios_t90,11.166,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.055,17,17,17
hyacinth_preset_t20,1.039,17,17,17
hyacinth_preset_t30,1.036,17,17,17
hyacinth_preset_t40,1.026,17,17,17
hyacinth_preset_t50,1.004,17,17,17
hyacinth_preset_t60,1.043,17,17,17
hyacinth_preset_t70,1.117,17,17,17
hyacinth_preset_t80,1.254,17,17,17
hyacinth_preset_t90,1.407,17,17,17
