scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,2238.064086,2.335665,2238.064086,2.335665,80,0
pure_ocs_ksp,95.000000,1071.668941,1.118404,1071.668941,1.118404,80,0
eps_ecmp,95.000000,862.924189,0.900556,862.924189,0.900556,80,0
ocs_eps_large_small,95.000000,1253.894335,1.308576,1253.894335,1.308576,80,0
pure_ocs_ksp_greedy,95.000000,921.863973,0.962066,921.863973,0.962066,80,0
ocs_eps_preset_greedy,95.000000,1098.553342,1.146461,1098.553342,1.146461,80,0
ocs_eps_preset_dynamic_greedy,95.000000,958.212708,1.000000,958.212708,1.000000,80,0
pure_ocs_3hop_preset,95.000000,999.463287,1.043050,999.463287,1.043050,80,0
pure_ocs_pruned,95.000000,999.463287,1.043050,999.463287,1.043050,80,0
ocs_eps_pruned,95.000000,871.077033,0.909064,871.077033,0.909064,80,0
