scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.143,0.025
ocs_eps_preset_dynamic_greedy,10,0.225,0.027
pure_ocs_pruned,10,0.669,0.742
ocs_eps_pruned,10,0.331,0.070
ocs_eps_large_small,10,0.000,0.000
ocs_eps_preset_greedy,10,0.145,0.010
pure_ocs_3hop_preset,10,0.337,0.146
