gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
1,0.024783956,24783956,M1,1,320,5,5
4,0.025967268,25967268,M1,2,320,5,5
7,0.029697340,29697340,M1,3,320,5,5
10,0.033780183,33780183,M1,4,320,5,5
13,0.034306574,34306574,M1,5,320,5,5
16,0.034639368,34639368,M1,6,320,5,5
19,0.037611536,37611536,M1,7,320,5,5
22,0.038342403,38342403,M1,8,320,5,5
2,0.082466419,82466419,S1,1,256,4,4
5,0.084018092,84018092,S1,2,256,4,4
8,0.084737452,84737452,S1,3,256,4,4
0,0.086773895,86773895,L1,1,512,8,8
11,0.089342304,89342304,S1,4,256,4,4
3,0.089789431,89789431,L1,2,512,8,8
14,0.090169963,90169963,S1,5,256,4,4
17,0.091593563,91593563,S1,6,256,4,4
6,0.091852289,91852289,L1,3,512,8,8
20,0.092361630,92361630,S1,7,256,4,4
23,0.092939081,92939081,S1,8,256,4,4
9,0.093723209,93723209,L1,4,512,8,8
12,0.095852620,95852620,L1,5,512,8,8
15,0.099112275,99112275,L1,6,512,8,8
18,0.103449728,103449728,L1,7,512,8,8
21,0.105719212,105719212,L1,8,512,8,8
