model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,14,0.107143,"[1,2,3,24,28,37,41,45,46,49,58,62,67,78]","[467,22,228,301,13,194,469,299]|[503,227,302,627,468,230,470,374]|[23,196,333,199,542,14,540,15]|[335,631,628,331,397,630,229,398]|[395,332,367,394,541,399,471,334]|[543,198,30,629,366,29,499,365]|[31,373,501,625,502,195,300,500]|[626,375,372,231,197,303,12,396]"
L2,L,64,8,64,14,0.107143,"[2,9,13,19,27,38,47,50,51,59,61,66,75,78]","[406,606,404,381,307,220,411,409]|[155,624,604,605,474,493,494,383]|[309,76,491,479,533,477,18,157]|[492,478,78,221,21,415,159,20]|[405,110,158,219,413,607,495,77]|[108,107,75,414,476,79,109,412]|[311,156,475,19,410,382,310,308]|[223,407,111,534,535,380,532,222]"
L3,L,64,8,64,14,0.107143,"[1,5,8,9,10,11,25,26,42,43,47,48,64,68]","[8,549,518,69,94,11,86,349]|[391,390,545,207,92,42,341,67]|[548,388,46,202,206,95,71,342]|[203,215,551,70,204,85,47,547]|[45,73,72,74,214,205,84,550]|[200,10,87,519,379,44,389,339]|[350,93,68,516,9,376,377,201]|[546,43,378,343,351,340,348,517]"
L4,L,64,8,64,14,0.107143,"[11,13,15,21,28,29,51,64,66,67,69,72,74,79]","[529,597,539,90,536,637,599,598]|[556,127,224,558,237,122,579,581]|[104,123,636,235,236,638,583,175]|[639,557,578,225,595,226,106,171]|[125,514,105,580,172,89,238,596]|[635,582,528,555,239,173,537,124]|[530,515,577,513,559,594,170,91]|[634,538,234,174,408,126,531,233]"
M1,M,40,5,40,8,0.085714,"[4,5,7,29,31,45,52,54]","[418,254,417,56,39]|[58,61,37,434,364]|[38,435,253,363,60]|[35,420,361,423,62]|[421,439,36,250,422]|[251,34,437,419,255]|[63,232,41,59,252]|[249,57,438,436,362]"
M2,M,40,5,40,8,0.085714,"[12,17,26,43,48,50,68,70]","[563,403,98,567,401]|[565,140,139,387,142]|[210,103,544,345,208]|[209,99,564,346,137]|[386,211,384,566,100]|[347,561,213,143,562]|[141,400,402,138,101]|[560,212,344,102,385]"
M3,M,40,5,40,8,0.085714,"[10,33,35,39,44,61,69,74]","[282,356,267,314,313]|[266,82,355,554,319]|[490,488,318,286,489]|[270,353,83,358,281]|[264,316,553,352,592]|[359,315,269,354,317]|[593,81,285,287,357]|[284,283,268,265,271]"
S1,S,32,4,32,7,0.107143,"[12,17,23,30,32,71,73]","[243,186,573,188]|[575,187,242,96]|[570,589,572,260]|[259,574,189,588]|[191,587,262,97]|[244,591,190,590]|[261,571,185,246]|[263,136,245,247]"
S2,S,32,4,32,7,0.107143,"[2,8,10,18,20,46,63]","[65,370,145,66]|[371,369,80,506]|[510,149,507,146]|[163,505,164,504]|[167,147,144,151]|[511,162,165,509]|[150,166,148,17]|[160,64,161,508]"
S3,S,32,4,32,7,0.107143,"[2,41,55,56,58,65,73]","[525,451,441,520]|[329,455,445,586]|[330,522,584,444]|[527,450,452,466]|[449,465,454,16]|[524,521,446,453]|[526,585,447,523]|[448,443,328,442]"
