scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
ocs_eps_global_ksp,10,1.916,0.150
pure_ocs_ksp,10,1.182,0.086
eps_ecmp,10,1.019,0.053
ocs_eps_large_small,10,1.111,0.064
pure_ocs_ksp_greedy,10,1.103,0.091
ocs_eps_preset_greedy,10,1.061,0.052
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_3hop_preset,10,1.059,0.049
pure_ocs_pruned,10,1.059,0.049
ocs_eps_pruned,10,1.029,0.054
