case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
spread0ms,ocs_eps_global_ksp,10,1.489,0.472
spread0ms,pure_ocs_ksp,10,1.628,0.582
spread0ms,eps_ecmp,10,0.400,0.035
spread0ms,pure_ocs_ksp_greedy,10,1.762,0.613
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_pruned,10,1.354,0.271
spread0ms,ocs_eps_pruned,10,0.989,0.634
spread0ms,ocs_eps_large_small,10,1.715,0.687
spread0ms,ocs_eps_preset_greedy,10,2.610,0.727
spread0ms,pure_ocs_3hop_preset,10,1.354,0.271
spread100ms,ocs_eps_global_ksp,10,2.306,0.991
spread100ms,pure_ocs_ksp,10,1.368,0.239
spread100ms,eps_ecmp,10,0.669,0.071
spread100ms,pure_ocs_ksp_greedy,10,1.152,0.086
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_pruned,10,1.118,0.129
spread100ms,ocs_eps_pruned,10,1.028,0.184
spread100ms,ocs_eps_large_small,10,5.646,8.769
spread100ms,ocs_eps_preset_greedy,10,3.197,3.032
spread100ms,pure_ocs_3hop_preset,10,1.118,0.129
spread25ms,ocs_eps_global_ksp,10,2.285,1.605
spread25ms,pure_ocs_ksp,10,1.467,0.209
spread25ms,eps_ecmp,10,0.485,0.032
spread25ms,pure_ocs_ksp_greedy,10,1.553,0.449
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_pruned,10,1.801,1.557
spread25ms,ocs_eps_pruned,10,0.885,0.104
spread25ms,ocs_eps_large_small,10,1.994,0.808
spread25ms,ocs_eps_preset_greedy,10,2.309,0.402
spread25ms,pure_ocs_3hop_preset,10,1.801,1.557
spread50ms,ocs_eps_global_ksp,10,2.179,0.618
spread50ms,pure_ocs_ksp,10,1.571,0.371
spread50ms,eps_ecmp,10,0.583,0.044
spread50ms,pure_ocs_ksp_greedy,10,1.421,0.147
spread50ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread50ms,pure_ocs_pruned,10,1.312,0.179
spread50ms,ocs_eps_pruned,10,1.102,0.222
spread50ms,ocs_eps_large_small,10,3.659,5.458
spread50ms,ocs_eps_preset_greedy,10,2.869,1.411
spread50ms,pure_ocs_3hop_preset,10,1.312,0.179
spread75ms,ocs_eps_global_ksp,10,3.178,3.254
spread75ms,pure_ocs_ksp,10,1.420,0.185
spread75ms,eps_ecmp,10,0.628,0.070
spread75ms,pure_ocs_ksp_greedy,10,2.892,3.108
spread75ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread75ms,pure_ocs_pruned,10,1.343,0.230
spread75ms,ocs_eps_pruned,10,1.005,0.111
spread75ms,ocs_eps_large_small,10,6.331,9.558
spread75ms,ocs_eps_preset_greedy,10,3.336,2.292
spread75ms,pure_ocs_3hop_preset,10,1.343,0.230
