scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
ocs_eps_global_ksp,10,1.208,0.196
pure_ocs_ksp,10,1.057,0.123
eps_ecmp,10,1.088,0.178
pure_ocs_ksp_greedy,10,1.005,0.060
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_pruned,10,1.038,0.143
ocs_eps_pruned,10,1.066,0.172
ocs_eps_large_small,10,0.992,0.159
ocs_eps_preset_greedy,10,1.038,0.138
pure_ocs_3hop_preset,10,1.038,0.143
