case_base,seed,scheduler,avg_solve_time_ms
mix3L2M1S,43,ocs_eps_preset_dynamic_greedy,0.271
mix3L2M1S,43,pure_ocs_pruned,0.319
mix3L2M1S,43,ocs_eps_pruned,0.406
mix3L2M1S,43,ocs_eps_large_small,0.000
mix3L2M1S,43,ocs_eps_preset_greedy,0.205
mix3L2M1S,43,pure_ocs_3hop_preset,0.365
mix3L2M1S,44,ocs_eps_global_ksp,0.000
mix3L2M1S,44,pure_ocs_ksp,0.000
mix3L2M1S,44,eps_ecmp,0.000
mix3L2M1S,44,pure_ocs_ksp_greedy,0.163
mix3L2M1S,44,ocs_eps_preset_dynamic_greedy,0.252
mix3L2M1S,44,pure_ocs_pruned,0.371
mix3L2M1S,44,ocs_eps_pruned,0.356
mix3L2M1S,44,ocs_eps_large_small,0.000
mix3L2M1S,44,ocs_eps_preset_greedy,0.162
mix3L2M1S,44,pure_ocs_3hop_preset,0.400
mix3L2M1S,45,ocs_eps_global_ksp,0.000
mix3L2M1S,45,pure_ocs_ksp,0.000
mix3L2M1S,45,eps_ecmp,0.000
mix3L2M1S,45,pure_ocs_ksp_greedy,0.163
mix3L2M1S,45,ocs_eps_preset_dynamic_greedy,0.205
mix3L2M1S,45,pure_ocs_pruned,0.275
mix3L2M1S,45,ocs_eps_pruned,0.387
mix3L2M1S,45,ocs_eps_large_small,0.000
mix3L2M1S,45,ocs_eps_preset_greedy,2.102
mix3L2M1S,45,pure_ocs_3hop_preset,0.310
mix3L2M1S,46,ocs_eps_global_ksp,0.000
mix3L2M1S,46,pure_ocs_ksp,0.000
mix3L2M1S,46,eps_ecmp,0.000
mix3L2M1S,46,pure_ocs_ksp_greedy,0.160
mix3L2M1S,46,ocs_eps_preset_dynamic_greedy,0.303
mix3L2M1S,46,pure_ocs_pruned,0.248
mix3L2M1S,46,ocs_eps_pruned,0.366
mix3L2M1S,46,ocs_eps_large_small,0.000
mix3L2M1S,46,ocs_eps_preset_greedy,0.163
mix3L2M1S,46,pure_ocs_3hop_preset,0.309
mix3L2M1S,47,ocs_eps_global_ksp,0.000
mix3L2M1S,47,pure_ocs_ksp,0.000
mix3L2M1S,47,eps_ecmp,0.000
mix3L2M1S,47,pure_ocs_ksp_greedy,0.137
mix3L2M1S,47,ocs_eps_preset_dynamic_greedy,0.270
mix3L2M1S,47,pure_ocs_pruned,0.554
mix3L2M1S,47,ocs_eps_pruned,0.362
mix3L2M1S,47,ocs_eps_large_small,0.000
mix3L2M1S,47,ocs_eps_preset_greedy,0.169
mix3L2M1S,47,pure_ocs_3hop_preset,0.324
mix3L2M1S,48,ocs_eps_global_ksp,0.000
mix3L2M1S,48,pure_ocs_ksp,0.000
mix3L2M1S,48,eps_ecmp,0.000
mix3L2M1S,48,pure_ocs_ksp_greedy,0.108
mix3L2M1S,48,ocs_eps_preset_dynamic_greedy,0.665
mix3L2M1S,48,pure_ocs_pruned,0.302
mix3L2M1S,48,ocs_eps_pruned,0.255
mix3L2M1S,48,ocs_eps_large_small,0.000
mix3L2M1S,48,ocs_eps_preset_greedy,0.154
mix3L2M1S,48,pure_ocs_3hop_preset,0.309
mix3L2M1S,49,ocs_eps_global_ksp,0.000
mix3L2M1S,49,pure_ocs_ksp,0.000
mix3L2M1S,49,eps_ecmp,0.000
mix3L2M1S,49,pure_ocs_ksp_greedy,0.178
mix3L2M1S,49,ocs_eps_preset_dynamic_greedy,0.267
mix3L2M1S,49,pure_ocs_pruned,0.309
mix3L2M1S,49,ocs_eps_pruned,0.250
mix3L2M1S,49,ocs_eps_large_small,0.000
mix3L2M1S,49,ocs_eps_preset_greedy,0.141
mix3L2M1S,49,pure_ocs_3hop_preset,0.225
mix3L2M1S,50,ocs_eps_global_ksp,0.000
mix3L2M1S,50,pure_ocs_ksp,0.000
mix3L2M1S,50,eps_ecmp,0.000
mix3L2M1S,50,pure_ocs_ksp_greedy,0.120
mix3L2M1S,50,ocs_eps_preset_dynamic_greedy,0.288
mix3L2M1S,50,pure_ocs_pruned,0.273
mix3L2M1S,50,ocs_eps_pruned,0.387
mix3L2M1S,50,ocs_eps_large_small,0.000
mix3L2M1S,50,ocs_eps_preset_greedy,0.148
mix3L2M1S,50,pure_ocs_3hop_preset,0.400
mix3L2M1S,51,ocs_eps_global_ksp,0.000
mix3L2M1S,51,pure_ocs_ksp,0.000
mix3L2M1S,51,eps_ecmp,0.000
mix3L2M1S,51,pure_ocs_ksp_greedy,0.112
mix3L2M1S,51,ocs_eps_preset_dynamic_greedy,0.797
mix3L2M1S,51,pure_ocs_pruned,0.295
mix3L2M1S,51,ocs_eps_pruned,1.706
mix3L2M1S,51,ocs_eps_large_small,0.000
mix3L2M1S,51,ocs_eps_preset_greedy,0.173
mix3L2M1S,51,pure_ocs_3hop_preset,0.262
mix5L,42,ocs_eps_global_ksp,0.000
mix5L,42,pure_ocs_ksp,0.000
mix5L,42,eps_ecmp,0.000
mix5L,42,pure_ocs_ksp_greedy,0.221
mix5L,42,ocs_eps_preset_dynamic_greedy,0.328
mix5L,42,pure_ocs_pruned,0.340
mix5L,42,ocs_eps_pruned,0.454
mix5L,42,ocs_eps_large_small,0.000
mix5L,42,ocs_eps_preset_greedy,0.209
mix5L,42,pure_ocs_3hop_preset,0.544
mix5L,43,ocs_eps_global_ksp,0.000
mix5L,43,pure_ocs_ksp,0.000
mix5L,43,eps_ecmp,0.000
mix5L,43,pure_ocs_ksp_greedy,0.190
mix5L,43,ocs_eps_preset_dynamic_greedy,0.384
mix5L,43,pure_ocs_pruned,1.062
mix5L,43,ocs_eps_pruned,2.236
mix5L,43,ocs_eps_large_small,0.000
mix5L,43,ocs_eps_preset_greedy,0.207
mix5L,43,pure_ocs_3hop_preset,0.379
mix5L,44,ocs_eps_global_ksp,0.000
mix5L,44,pure_ocs_ksp,0.000
mix5L,44,eps_ecmp,0.000
mix5L,44,pure_ocs_ksp_greedy,0.174
mix5L,44,ocs_eps_preset_dynamic_greedy,0.349
mix5L,44,pure_ocs_pruned,0.376
mix5L,44,ocs_eps_pruned,0.417
mix5L,44,ocs_eps_large_small,0.000
mix5L,44,ocs_eps_preset_greedy,0.224
mix5L,44,pure_ocs_3hop_preset,0.862
mix5L,45,ocs_eps_global_ksp,0.000
mix5L,45,pure_ocs_ksp,0.000
mix5L,45,eps_ecmp,0.000
mix5L,45,pure_ocs_ksp_greedy,0.217
mix5L,45,ocs_eps_preset_dynamic_greedy,0.391
mix5L,45,pure_ocs_pruned,0.303
mix5L,45,ocs_eps_pruned,0.442
mix5L,45,ocs_eps_large_small,0.000
mix5L,45,ocs_eps_preset_greedy,0.218
mix5L,45,pure_ocs_3hop_preset,0.377
mix5L,46,ocs_eps_global_ksp,0.000
mix5L,46,pure_ocs_ksp,0.000
mix5L,46,eps_ecmp,0.000
mix5L,46,pure_ocs_ksp_greedy,0.198
mix5L,46,ocs_eps_preset_dynamic_greedy,0.549
mix5L,46,pure_ocs_pruned,1.317
mix5L,46,ocs_eps_pruned,0.498
mix5L,46,ocs_eps_large_small,0.000
mix5L,46,ocs_eps_preset_greedy,0.195
mix5L,46,pure_ocs_3hop_preset,0.328
mix5L,47,ocs_eps_global_ksp,0.000
