1_hop_ocs_byte_share,1_hop_ocs_flow_share,2_hop_ocs_byte_share,2_hop_ocs_flow_share,avg_ocs_hops_all,avg_ocs_hops_all_byte,avg_ocs_hops_core,avg_ocs_hops_core_byte,avg_total_hops_all,avg_total_hops_all_byte,avg_total_hops_core,avg_total_hops_core_byte,bytes,case_dir,core_bytes,core_flows,dataset,direct_eps_byte_share,direct_eps_flow_share,eps_byte_share_all,eps_byte_share_core,eps_flow_share_all,eps_flow_share_core,eps_multi_ocs_byte_share,eps_multi_ocs_flow_share,eps_then_ocs_byte_share,eps_then_ocs_flow_share,flows,ge3_hop_ocs_byte_share,ge3_hop_ocs_flow_share,intra_rack_byte_share,intra_rack_flow_share,label,num_tor,ocs_then_eps_byte_share,ocs_then_eps_flow_share,scheduler,seed
0.06034886340190626,0.05443050986842105,0.1907333219049271,0.17593544407894737,2.441971628289474,2.4161339269807365,2.8770134431391545,2.8354709361364066,2.441971628289474,2.4161339269807365,2.8770134431391545,2.8354709361364066,227232617600.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,193627248900.0,16514,40 ToRs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19456,0.6010280924563887,0.618421052631579,0.14788972223677804,0.15121299342105263,Optics-pruned,40,0.0,0.0,pure_ocs_pruned,42
0.005755292148691949,0.006476151315789474,0.05321148709946472,0.046361019736842105,0.8096731085526315,0.8068002359710528,0.953917887852731,0.9468260822870164,2.272872121710526,2.2615623449122295,2.677788543054378,2.6540723705959754,227232617600.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,193627248900.0,16514,40 ToRs,0.23004641698058756,0.21417557565789475,0.7273810544705884,0.8536231441544796,0.7315995065789473,0.8619353276008236,0.0,0.0,0.0,0.0,19456,0.06576244404447683,0.06435032894736842,0.14788972223677804,0.15121299342105263,Hybrid-ksp,40,0.4973346374900009,0.5174239309210527,ocs_eps_global_ksp,42
0.009215182318966519,0.009868421052631578,0.05431725572834311,0.048416940789473686,2.1696648848684212,2.0901372343298656,2.5561947438537,2.452895228322381,3.0101254111842106,2.9622848005250457,3.546384885551653,3.476410128863841,227232617600.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,193627248900.0,16514,40 ToRs,0.0976257538829672,0.08845600328947369,0.43607378309758993,0.5117574502707299,0.42023026315789475,0.49509507084897664,0.0,0.0,0.15866667550107913,0.16822574013157895,19456,0.3525040566183224,0.37027138157894735,0.14788972223677804,0.15121299342105263,Hyacinth-dynamic,40,0.17978135371354362,0.16354851973684212,ocs_eps_preset_dynamic_greedy,42
0.020016630306159005,0.020096628289473683,0.14314106814214686,0.13939144736842105,1.0077097039473684,0.9738910084183267,1.1872350732711638,1.1429166316063897,1.9137541118421053,1.9067346724962428,2.2546929877679545,2.2376618640270314,227232617600.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,193627248900.0,16514,40 ToRs,0.46642183203895815,0.4530222039473684,0.46642183203895815,0.547372616210321,0.4530222039473684,0.5337289572483953,0.0,0.0,0.0,0.0,19456,0.22253074727595798,0.2362767269736842,0.14788972223677804,0.15121299342105263,Hyacinth-pruned,40,0.0,0.0,ocs_eps_pruned,42
0.045059325195743995,0.04594983552631579,0.22990154747072697,0.21998355263157895,2.495631167763158,2.485589487971129,2.8223087654033945,2.818816454308177,2.495631167763158,2.485589487971129,2.8223087654033945,2.818816454308177,229396158400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,202278044400.0,17204,40 ToRs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19456,0.6068239218604107,0.6183182565789473,0.11821520547311833,0.1157483552631579,Optics-pruned,40,0.0,0.0,pure_ocs_pruned,43
0.01269996420306226,0.01274671052631579,0.035195622090243336,0.03407689144736842,0.8224198190789473,0.8137655425532183,0.9300744013020228,0.922861845207754,2.367752878289474,2.351626835700314,2.6776912345966055,2.666894292458366,229396158400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,202278044400.0,17204,40 ToRs,0.23313199738396317,0.22543174342105263,0.7689306465735478,0.8720162236253061,0.7726665296052632,0.8738084166472914,0.0,0.0,0.0,0.0,19456,0.06495856166002822,0.06476151315789473,0.11821520547311833,0.1157483552631579,Hybrid-ksp,40,0.5357986491895846,0.5472347861842105,ocs_eps_global_ksp,43
0.01987889872178435,0.019274259868421052,0.04368469406765794,0.03998766447368421,2.2644428453947367,2.1591097987628722,2.56085794001395,2.4485677368947316,3.1436574835526314,3.0670200229473417,3.5551615903278306,3.4781956345628977,229396158400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,202278044400.0,17204,40 ToRs,0.1058588150271308,0.09040912828947369,0.4539551120922346,0.5148139488340832,0.43960731907894735,0.49715182515694023,0.0,0.0,0.16680070828945495,0.18816817434210525,19456,0.3642660896452048,0.3853824013157895,0.11821520547311833,0.1157483552631579,Hyacinth-dynamic,40,0.18129558877564883,0.16103001644736842,ocs_eps_preset_dynamic_greedy,43
0.046269671968490994,0.048416940789473686,0.1147760890314892,0.11831825657894737,0.9679790296052632,0.9223722750014457,1.0946872820274354,1.0460287824495105,1.947728207236842,1.9328167254085977,2.202685421994885,2.191937009353448,229396158400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,202278044400.0,17204,40 ToRs,0.5052222252035761,0.4898745888157895,0.5052222252035761,0.5729541134519689,0.4898745888157895,0.5539990699837247,0.0,0.0,0.0,0.0,19456,0.21551680832332543,0.22764185855263158,0.11821520547311833,0.1157483552631579,Hyacinth-pruned,40,0.0,0.0,ocs_eps_pruned,43
0.12618869214108555,0.10829564144736842,0.16120490923231331,0.15707236842105263,2.4071237664473686,2.368444294971175,2.756341592607851,2.711544656687435,2.4071237664473686,2.368444294971175,2.756341592607851,2.711544656687435,215674682400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,188384679500.0,16991,40 ToRs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19456,0.586073220989243,0.6079358552631579,0.12653317763735814,0.12669613486842105,Optics-pruned,40,0.0,0.0,pure_ocs_pruned,44
0.022770127885905257,0.02425986842105263,0.029188597057138867,0.03145559210526316,0.8006270559210527,0.8146174388431602,0.9167794714849038,0.9326255079038951,2.3212890625,2.3339401843486844,2.6580542640221294,2.672042171030155,215674682400.0,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/frag/batch_20260510_155035_frag/frag0p1,188384679500.0,16991,40 ToRs,0.2117314299102916,0.21864720394736842,0.7596613727527622,0.8697083315631301,0.7603310032894737,0.8706373962686128,0.0,0.0,0.0,0.0,19456,0.06184672466683554,0.05725740131578947,0.12653317763735814,0.12669613486842105,Hybrid-ksp,40,0.5479299428424707,0.5416837993421053,ocs_eps_global_ksp,44
