scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.054,17,17,17
helios_t20,30.846,17,17,17
helios_t30,27.581,17,17,17
helios_t40,34.649,17,17,17
helios_t50,143.924,17,17,17
helios_t60,30.454,17,17,17
helios_t70,37.825,17,17,17
helios_t80,49.562,17,17,17
helios_t90,29.184,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,3.038,17,17,17
hyacinth_preset_t20,3.296,17,17,17
hyacinth_preset_t30,2.817,17,17,17
hyacinth_preset_t40,1.718,17,17,17
hyacinth_preset_t50,1.963,17,17,17
hyacinth_preset_t60,1.018,17,17,17
hyacinth_preset_t70,1.006,17,17,17
hyacinth_preset_t80,0.957,17,17,17
hyacinth_preset_t90,1.618,17,17,17
