scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
ocs_eps_global_ksp,1.379058,17,17,17
pure_ocs_ksp,1.025380,17,17,17
eps_ecmp,0.754200,17,17,17
ocs_eps_large_small,2.073645,17,17,17
pure_ocs_ksp_greedy,1.050164,17,17,17
ocs_eps_preset_greedy,1.065394,17,17,17
ocs_eps_preset_dynamic_greedy,1.000000,17,17,17
pure_ocs_3hop_preset,0.982530,17,17,17
pure_ocs_pruned,0.982530,17,17,17
ocs_eps_pruned,0.971485,17,17,17
