scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.0,2430.460,0.985,2430.460,0.985,48,0
pure_ocs_ksp,95.0,2750.211,1.114,2750.211,1.114,48,0
eps_ecmp,95.0,1506.762,0.610,1506.762,0.610,48,0
ocs_eps_large_small,95.0,3699.135,1.499,3699.135,1.499,48,0
pure_ocs_ksp_greedy,95.0,2884.782,1.169,2884.782,1.169,48,0
ocs_eps_preset_greedy,95.0,3600.948,1.459,3600.948,1.459,48,0
ocs_eps_preset_dynamic_greedy,95.0,2468.358,1.000,2468.358,1.000,48,0
pure_ocs_3hop_preset,95.0,2748.292,1.113,2748.292,1.113,48,0
pure_ocs_pruned,95.0,2748.292,1.113,2748.292,1.113,48,0
ocs_eps_pruned,95.0,2329.392,0.944,2329.392,0.944,48,0
