scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.203,0.016
ocs_eps_preset_dynamic_greedy,10,0.895,1.541
pure_ocs_pruned,10,0.596,0.323
ocs_eps_pruned,10,0.618,0.541
ocs_eps_large_small,10,0.000,0.000
ocs_eps_preset_greedy,10,0.370,0.471
pure_ocs_3hop_preset,10,0.472,0.153
