scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
ocs_eps_global_ksp,10,1.797,0.405
pure_ocs_ksp,10,1.313,0.110
eps_ecmp,10,0.924,0.129
pure_ocs_ksp_greedy,10,1.211,0.128
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_pruned,10,1.213,0.109
ocs_eps_pruned,10,0.974,0.101
ocs_eps_large_small,10,1.168,0.189
ocs_eps_preset_greedy,10,1.720,0.331
pure_ocs_3hop_preset,10,1.213,0.109
