scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.147,0.016
ocs_eps_preset_dynamic_greedy,10,0.627,0.927
pure_ocs_pruned,10,0.351,0.026
ocs_eps_pruned,10,0.343,0.028
ocs_eps_large_small,10,0.000,0.000
ocs_eps_preset_greedy,10,0.188,0.056
pure_ocs_3hop_preset,10,0.367,0.120
