model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,25,0.303571,"[1,2,13,14,15,18,19,20,21,26,30,36,51,52,53,54,55,58,62,66,69,70,75,76,77]","[215,21,422,556,437,147,110,118]|[503,111,148,15,607,246,413,534]|[430,606,567,247,151,471,165,533]|[502,166,559,605,167,159,469,22]|[615,623,447,126,421,431,119,614]|[150,412,175,295,157,23,535,158]|[566,438,558,214,149,439,423,622]|[557,470,127,415,555,554,420,414]"
L2,L,64,8,64,25,0.303571,"[2,5,8,9,10,11,13,16,26,28,30,34,40,41,42,53,55,59,60,62,65,67,70,76,79]","[132,327,78,639,500,134,77,525]|[46,478,342,95,613,213,542,19]|[637,94,527,499,636,564,70,87]|[109,231,638,47,278,326,343,565]|[429,108,325,444,612,541,445,610]|[543,611,20,133,487,446,526,18]|[86,79,479,135,279,244,335,71]|[243,501,428,230,212,245,486,334]"
L3,L,64,8,64,25,0.303571,"[2,4,5,6,7,9,11,14,15,18,27,28,29,37,39,40,41,42,46,49,53,56,66,68,78]","[55,454,76,222,375,117,63,340]|[38,37,399,115,302,229,551,237]|[239,92,324,75,316,146,62,452]|[319,300,116,532,317,301,43,451]|[550,397,318,93,44,54,223,631]|[323,630,341,453,455,426,36,333]|[16,450,45,238,221,17,427,91]|[396,373,125,39,398,374,303,228]"
L4,L,64,8,64,25,0.303571,"[0,3,5,6,16,29,31,34,39,42,43,48,49,53,54,55,57,60,64,65,69,72,73,75,76]","[395,523,314,255,253,338,339,390]|[519,391,313,7,276,130,604,252]|[277,609,235,350,254,553,42,315]|[589,460,435,52,349,602,590,485]|[30,5,425,588,484,236,347,51]|[351,518,6,274,348,436,443,275]|[50,591,461,582,462,524,31,463]|[389,552,131,581,603,41,583,53]"
M1,M,40,5,40,16,0.314286,"[8,11,28,30,35,41,48,53,60,62,63,66,67,70,74,77]","[330,508,598,226,388]|[285,562,510,511,563]|[283,597,90,242,599]|[620,227,89,482,386]|[497,225,331,498,286]|[540,509,539,483,619]|[596,530,531,284,387]|[424,287,69,621,332]"
M2,M,40,5,40,16,0.314286,"[6,9,18,24,36,37,39,41,45,49,62,64,70,72,76,79]","[517,515,514,365,364]|[74,294,291,362,73]|[578,299,298,496,199]|[144,516,367,363,198]|[293,580,49,513,292]|[329,608,634,312,579]|[48,297,366,561,394]|[145,635,197,296,393]"
M3,M,40,5,40,16,0.314286,"[5,12,21,26,28,29,41,43,45,47,48,55,59,64,65,71]","[361,381,360,441,173]|[385,442,211,521,100]|[475,171,209,477,174]|[210,103,522,382,346]|[102,101,474,233,574]|[379,234,172,170,575]|[224,169,383,476,328]|[345,380,40,99,512]"
S1,S,32,4,32,12,0.285714,"[0,19,20,26,32,35,36,42,49,57,67,70]","[256,336,262,154]|[161,258,164,3]|[208,337,263,261]|[459,281,156,290]|[392,282,458,289]|[560,538,257,163]|[537,259,162,155]|[260,457,280,4]"
S2,S,32,4,32,12,0.285714,"[3,8,14,17,19,24,40,50,54,57,67,74]","[594,68,65,405]|[404,536,27,402]|[595,406,407,143]|[139,153,322,140]|[403,456,67,113]|[195,141,593,196]|[434,29,142,28]|[321,66,114,194]"
S3,S,32,4,32,12,0.285714,"[9,11,12,25,27,36,48,51,52,68,74,78]","[205,220,72,204]|[411,288,592,203]|[201,98,206,548]|[547,546,200,384]|[218,419,629,549]|[627,207,410,217]|[202,97,88,545]|[628,418,219,417]"
