scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.063,0.008
ocs_eps_preset_dynamic_greedy,10,0.112,0.005
pure_ocs_pruned,10,0.374,0.099
ocs_eps_pruned,10,0.349,0.076
ocs_eps_large_small,10,0.000,0.000
ocs_eps_preset_greedy,10,0.061,0.001
pure_ocs_3hop_preset,10,0.288,0.003
