scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.993,17,17,17
helios_t20,1.374,17,17,17
helios_t30,2.386,17,17,17
helios_t40,3.344,17,17,17
helios_t50,9.860,17,17,17
helios_t60,4.693,17,17,17
helios_t70,19.726,17,17,17
helios_t80,13.002,17,17,17
helios_t90,5.308,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,2.220,17,17,17
hyacinth_preset_t20,1.972,17,17,17
hyacinth_preset_t30,1.572,17,17,17
hyacinth_preset_t40,1.276,17,17,17
hyacinth_preset_t50,1.194,17,17,17
hyacinth_preset_t60,1.156,17,17,17
hyacinth_preset_t70,0.975,17,17,17
hyacinth_preset_t80,1.135,17,17,17
hyacinth_preset_t90,1.233,17,17,17
