scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.977,17,17,17
helios_t20,1.179,17,17,17
helios_t30,1.471,17,17,17
helios_t40,2.655,17,17,17
helios_t50,3.743,17,17,17
helios_t60,6.204,17,17,17
helios_t70,8.862,17,17,17
helios_t80,5.805,17,17,17
helios_t90,26.667,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.055,17,17,17
hyacinth_preset_t20,1.034,17,17,17
hyacinth_preset_t30,1.043,17,17,17
hyacinth_preset_t40,1.009,17,17,17
hyacinth_preset_t50,0.984,17,17,17
hyacinth_preset_t60,1.018,17,17,17
hyacinth_preset_t70,1.058,17,17,17
hyacinth_preset_t80,1.154,17,17,17
hyacinth_preset_t90,1.402,17,17,17
