case_base,seed,scheduler,avg_relative_fct_vs_dynamic
threshold_sweep,48,helios_t70,5.066
threshold_sweep,48,helios_t80,6.097
threshold_sweep,48,helios_t90,14.743
threshold_sweep,48,hyacinth_dynamic,1.000
threshold_sweep,48,hyacinth_preset_t10,2.280
threshold_sweep,48,hyacinth_preset_t20,1.487
threshold_sweep,48,hyacinth_preset_t30,1.318
threshold_sweep,48,hyacinth_preset_t40,1.191
threshold_sweep,48,hyacinth_preset_t50,1.242
threshold_sweep,48,hyacinth_preset_t60,0.966
threshold_sweep,48,hyacinth_preset_t70,0.905
threshold_sweep,48,hyacinth_preset_t80,0.985
threshold_sweep,48,hyacinth_preset_t90,1.026
threshold_sweep,49,helios_t10,0.937
threshold_sweep,49,helios_t20,1.319
threshold_sweep,49,helios_t30,1.757
threshold_sweep,49,helios_t40,4.329
threshold_sweep,49,helios_t50,11.823
threshold_sweep,49,helios_t60,6.713
threshold_sweep,49,helios_t70,6.296
threshold_sweep,49,helios_t80,4.524
threshold_sweep,49,helios_t90,14.490
threshold_sweep,49,hyacinth_dynamic,1.000
threshold_sweep,49,hyacinth_preset_t10,2.165
threshold_sweep,49,hyacinth_preset_t20,1.992
threshold_sweep,49,hyacinth_preset_t30,1.593
threshold_sweep,49,hyacinth_preset_t40,1.096
threshold_sweep,49,hyacinth_preset_t50,1.058
threshold_sweep,49,hyacinth_preset_t60,1.014
threshold_sweep,49,hyacinth_preset_t70,1.012
threshold_sweep,49,hyacinth_preset_t80,0.998
threshold_sweep,49,hyacinth_preset_t90,1.080
threshold_sweep,50,helios_t10,1.033
threshold_sweep,50,helios_t20,9.076
threshold_sweep,50,helios_t30,2.884
threshold_sweep,50,helios_t40,3.523
threshold_sweep,50,helios_t50,3.976
threshold_sweep,50,helios_t60,16.820
threshold_sweep,50,helios_t70,7.616
threshold_sweep,50,helios_t80,4.623
threshold_sweep,50,helios_t90,9.202
threshold_sweep,50,hyacinth_dynamic,1.000
threshold_sweep,50,hyacinth_preset_t10,2.206
threshold_sweep,50,hyacinth_preset_t20,3.211
threshold_sweep,50,hyacinth_preset_t30,1.685
threshold_sweep,50,hyacinth_preset_t40,1.432
threshold_sweep,50,hyacinth_preset_t50,1.119
threshold_sweep,50,hyacinth_preset_t60,1.019
threshold_sweep,50,hyacinth_preset_t70,0.921
threshold_sweep,50,hyacinth_preset_t80,0.959
threshold_sweep,50,hyacinth_preset_t90,1.096
threshold_sweep,51,helios_t10,1.016
threshold_sweep,51,helios_t20,1.968
threshold_sweep,51,helios_t30,3.094
threshold_sweep,51,helios_t40,5.473
threshold_sweep,51,helios_t50,4.323
threshold_sweep,51,helios_t60,6.984
threshold_sweep,51,helios_t70,6.847
threshold_sweep,51,helios_t80,21.487
threshold_sweep,51,helios_t90,8.036
threshold_sweep,51,hyacinth_dynamic,1.000
threshold_sweep,51,hyacinth_preset_t10,3.049
threshold_sweep,51,hyacinth_preset_t20,12.119
threshold_sweep,51,hyacinth_preset_t30,1.982
threshold_sweep,51,hyacinth_preset_t40,1.693
threshold_sweep,51,hyacinth_preset_t50,1.032
threshold_sweep,51,hyacinth_preset_t60,0.987
threshold_sweep,51,hyacinth_preset_t70,0.934
threshold_sweep,51,hyacinth_preset_t80,1.060
threshold_sweep,51,hyacinth_preset_t90,1.045
