case_base,seed,scheduler,avg_relative_fct_vs_dynamic
n40_mix3L2M1S,42,ocs_eps_large_small,1.555
n40_mix3L2M1S,42,pure_ocs_ksp_greedy,1.157
n40_mix3L2M1S,42,ocs_eps_preset_greedy,1.801
n40_mix3L2M1S,42,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,42,pure_ocs_3hop_preset,1.116
n40_mix3L2M1S,42,pure_ocs_pruned,1.116
n40_mix3L2M1S,42,ocs_eps_pruned,0.866
n40_mix3L2M1S,43,ocs_eps_global_ksp,1.648
n40_mix3L2M1S,43,pure_ocs_ksp,1.196
n40_mix3L2M1S,43,eps_ecmp,0.700
n40_mix3L2M1S,43,ocs_eps_large_small,1.374
n40_mix3L2M1S,43,pure_ocs_ksp_greedy,1.382
n40_mix3L2M1S,43,ocs_eps_preset_greedy,1.972
n40_mix3L2M1S,43,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,43,pure_ocs_3hop_preset,1.482
n40_mix3L2M1S,43,pure_ocs_pruned,1.482
n40_mix3L2M1S,43,ocs_eps_pruned,1.132
n40_mix3L2M1S,44,ocs_eps_global_ksp,2.037
n40_mix3L2M1S,44,pure_ocs_ksp,1.175
n40_mix3L2M1S,44,eps_ecmp,0.627
n40_mix3L2M1S,44,ocs_eps_large_small,1.750
n40_mix3L2M1S,44,pure_ocs_ksp_greedy,1.139
n40_mix3L2M1S,44,ocs_eps_preset_greedy,1.678
n40_mix3L2M1S,44,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,44,pure_ocs_3hop_preset,1.016
n40_mix3L2M1S,44,pure_ocs_pruned,1.016
n40_mix3L2M1S,44,ocs_eps_pruned,1.057
n40_mix3L2M1S,45,ocs_eps_global_ksp,2.081
n40_mix3L2M1S,45,pure_ocs_ksp,1.492
n40_mix3L2M1S,45,eps_ecmp,0.745
n40_mix3L2M1S,45,ocs_eps_large_small,1.299
n40_mix3L2M1S,45,pure_ocs_ksp_greedy,1.170
n40_mix3L2M1S,45,ocs_eps_preset_greedy,1.862
n40_mix3L2M1S,45,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,45,pure_ocs_3hop_preset,1.161
n40_mix3L2M1S,45,pure_ocs_pruned,1.161
n40_mix3L2M1S,45,ocs_eps_pruned,0.893
n40_mix3L2M1S,46,ocs_eps_global_ksp,2.113
n40_mix3L2M1S,46,pure_ocs_ksp,1.598
n40_mix3L2M1S,46,eps_ecmp,0.751
n40_mix3L2M1S,46,ocs_eps_large_small,30.846
n40_mix3L2M1S,46,pure_ocs_ksp_greedy,1.076
n40_mix3L2M1S,46,ocs_eps_preset_greedy,3.296
n40_mix3L2M1S,46,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,46,pure_ocs_3hop_preset,1.033
n40_mix3L2M1S,46,pure_ocs_pruned,1.033
n40_mix3L2M1S,46,ocs_eps_pruned,1.443
n40_mix3L2M1S,47,ocs_eps_global_ksp,3.444
n40_mix3L2M1S,47,pure_ocs_ksp,1.956
n40_mix3L2M1S,47,eps_ecmp,0.781
n40_mix3L2M1S,47,ocs_eps_large_small,1.113
n40_mix3L2M1S,47,pure_ocs_ksp_greedy,1.073
n40_mix3L2M1S,47,ocs_eps_preset_greedy,2.549
n40_mix3L2M1S,47,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,47,pure_ocs_3hop_preset,1.071
n40_mix3L2M1S,47,pure_ocs_pruned,1.071
n40_mix3L2M1S,47,ocs_eps_pruned,0.886
n40_mix3L2M1S,48,ocs_eps_global_ksp,4.850
n40_mix3L2M1S,48,pure_ocs_ksp,1.166
n40_mix3L2M1S,48,eps_ecmp,0.587
n40_mix3L2M1S,48,ocs_eps_large_small,6.159
n40_mix3L2M1S,48,pure_ocs_ksp_greedy,1.105
