scheduler,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,1563.333417,1.835718,80,0
pure_ocs_ksp,1025.734597,1.204452,80,0
eps_ecmp,816.254123,0.958473,80,0
ocs_eps_large_small,876.120063,1.028770,80,0
pure_ocs_ksp_greedy,902.796691,1.060094,80,0
ocs_eps_preset_greedy,881.420726,1.034994,80,0
ocs_eps_preset_dynamic_greedy,851.619381,1.000000,80,0
pure_ocs_3hop_preset,881.842323,1.035489,80,0
pure_ocs_pruned,881.842323,1.035489,80,0
ocs_eps_pruned,848.828562,0.996723,80,0
