scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
ocs_eps_large_small,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.105,0.010
ocs_eps_preset_greedy,10,0.115,0.013
ocs_eps_preset_dynamic_greedy,10,0.228,0.033
pure_ocs_3hop_preset,10,0.548,0.141
pure_ocs_pruned,10,0.553,0.106
ocs_eps_pruned,10,0.649,0.127
