scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.207,0.275
helios_t20,10,1.051,0.251
helios_t30,10,1.020,0.212
helios_t40,10,1.107,0.288
helios_t50,10,1.146,0.269
helios_t60,10,1.270,0.370
helios_t70,10,1.753,0.589
helios_t80,10,1.712,0.403
helios_t90,10,1.697,0.394
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.000,0.268
hyacinth_preset_t20,10,1.044,0.259
hyacinth_preset_t30,10,1.126,0.329
hyacinth_preset_t40,10,1.092,0.260
hyacinth_preset_t50,10,1.294,0.465
hyacinth_preset_t60,10,1.366,0.319
hyacinth_preset_t70,10,1.590,0.277
hyacinth_preset_t80,10,1.862,0.364
hyacinth_preset_t90,10,1.855,0.350
