scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.988,17,17,17
helios_t20,1.153,17,17,17
helios_t30,1.792,17,17,17
helios_t40,40.571,17,17,17
helios_t50,43.593,17,17,17
helios_t60,68.281,17,17,17
helios_t70,45.077,17,17,17
helios_t80,65.995,17,17,17
helios_t90,43.532,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.014,17,17,17
hyacinth_preset_t20,1.005,17,17,17
hyacinth_preset_t30,0.984,17,17,17
hyacinth_preset_t40,0.980,17,17,17
hyacinth_preset_t50,0.984,17,17,17
hyacinth_preset_t60,1.027,17,17,17
hyacinth_preset_t70,1.074,17,17,17
hyacinth_preset_t80,1.192,17,17,17
hyacinth_preset_t90,1.386,17,17,17
