scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
ocs_eps_global_ksp,10,0.000,0.000
pure_ocs_ksp,10,0.000,0.000
eps_ecmp,10,0.000,0.000
ocs_eps_large_small,10,0.000,0.000
pure_ocs_ksp_greedy,10,0.096,0.016
ocs_eps_preset_greedy,10,0.107,0.011
ocs_eps_preset_dynamic_greedy,10,0.170,0.018
pure_ocs_3hop_preset,10,0.295,0.064
pure_ocs_pruned,10,0.413,0.058
ocs_eps_pruned,10,0.882,0.959
