scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
ocs_eps_global_ksp,10,1.399,0.295
pure_ocs_ksp,10,1.283,0.263
eps_ecmp,10,0.694,0.060
ocs_eps_large_small,10,1.883,0.727
pure_ocs_ksp_greedy,10,1.177,0.243
ocs_eps_preset_greedy,10,1.851,0.561
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_3hop_preset,10,1.945,2.578
pure_ocs_pruned,10,1.945,2.578
ocs_eps_pruned,10,0.981,0.149
