1_hop_ocs_byte_share,1_hop_ocs_flow_share,2_hop_ocs_byte_share,2_hop_ocs_flow_share,3_hop_ocs_byte_share,3_hop_ocs_flow_share,avg_ocs_hops_core,avg_total_hops_core,cct_relative_mean,core_bytes,core_flows,dataset,direct_eps_byte_share,direct_eps_flow_share,eps_core_byte_share,eps_core_flow_share,eps_max_link_gb,eps_mean_active_link_gb,eps_then_ocs_byte_share,eps_then_ocs_flow_share,gt3_hop_ocs_byte_share,gt3_hop_ocs_flow_share,intra_rack_byte_share,intra_rack_flow_share,num_tor,ocs_max_link_gb,ocs_mean_active_link_gb,ocs_p95_link_gb,ocs_then_eps_byte_share,ocs_then_eps_flow_share,seed,tag
0.029355911673862523,0.030684621710526317,0.05272020172523424,0.0517578125,0.08149263693561641,0.0844983552631579,2.441924066924067,3.474099099099099,1.0,206453434800.0,18648,40 ToRs,0.1005516754969388,0.08850740131578948,0.5232201121024894,0.5160875160875161,4.4618022,2.7005147325,0.1865540838256458,0.21828741776315788,0.29178015565804327,0.296875,0.04494942519337331,0.041529605263157895,40,5.5066231,4.135723919166667,5.171314445,0.2125959094912856,0.18785978618421054,42,hyacinth_dynamic
0.027483845926029184,0.02523643092105263,0.048176029215897566,0.05237458881578947,0.07949408822308576,0.07596628289473684,2.490369655024411,3.507377005204142,1.0,215625061600.0,18639,40 ToRs,0.10011135168698193,0.08377878289473684,0.5326441353698377,0.5085036750898654,4.4849401,2.8712856125,0.19573429484842103,0.22080592105263158,0.2921520112727016,0.3172800164473684,0.04290069197765284,0.0419921875,40,6.0839,4.2290324041666665,5.373404595,0.21394768684923013,0.1825657894736842,43,hyacinth_dynamic
0.025798354902318382,0.024825246710526317,0.04305521954022361,0.04178659539473684,0.07255418496909306,0.07396175986842106,2.5096430474160893,3.5466169419286095,1.0,208430639200.0,18770,40 ToRs,0.10411821197609424,0.08285361842105263,0.5341872285540638,0.51848694725626,3.9899403,2.7835246375000002,0.19209457335915844,0.2255859375,0.30875937480921495,0.3239617598684211,0.03358782365824872,0.03525904605263158,40,6.4892001,4.1766460316666665,5.1217239999999995,0.22003225678564856,0.19176603618421054,44,hyacinth_dynamic
0.026951356920724086,0.024054276315789474,0.03850017038682074,0.04528166118421053,0.08811326868151712,0.08490953947368421,2.3911742707554224,3.456459023399936,1.0,221747266800.0,18718,40 ToRs,0.09962201915265483,0.08439555921052631,0.5321595873667833,0.5326423763222566,4.9344005,2.95012335,0.19311778052023834,0.22414679276315788,0.29529621767218095,0.2953844572368421,0.04056810497654367,0.037931743421052634,40,5.8111,4.353558971666667,5.440357045,0.21783108168932028,0.20389597039473684,45,hyacinth_dynamic
0.027896275268522258,0.02842310855263158,0.047640903553914676,0.05139802631578947,0.06514419199783801,0.07283100328947369,2.45928303905832,3.4970572498662387,1.0,214902236900.0,18690,40 ToRs,0.09861648237344428,0.08367598684210527,0.5315776720051442,0.5188871054039593,4.2731401,2.85593077,0.19452286597377302,0.21607730263157895,0.311186575519939,0.30951891447368424,0.035340718546669314,0.03937088815789474,40,6.5354013,4.303278545833334,5.675362335,0.21965198676589942,0.19870476973684212,46,hyacinth_dynamic
0.02696779197950038,0.033357319078947366,0.04510893438635954,0.03998766447368421,0.07556272502292327,0.07689144736842106,2.4067697539720494,3.4733514001806687,1.0,209902786600.0,18819,40 ToRs,0.10136543965902897,0.08403577302631579,0.5352607596110875,0.5332908231043094,4.2677002,2.808818125,0.1904796283168942,0.22347861842105263,0.2999213519400225,0.3011924342105263,0.03696360360216454,0.032740542763157895,40,5.85312,4.1813694175,5.28462986,0.22363052509310663,0.20831620065789475,47,hyacinth_dynamic
0.021182060531091403,0.024773848684210526,0.040241386178084086,0.04271175986842105,0.08846703983860238,0.09236225328947369,2.4462423395333834,3.4780668745296204,1.0,219523516200.0,18602,40 ToRs,0.10520125273808444,0.08460115131578948,0.5213688423053785,0.5159122674981185,3.9979,2.8613180375,0.18458980079575718,0.2167454769736842,0.3074884241742648,0.3029913651315789,0.04440213853803955,0.04389391447368421,40,6.2705642,4.4491732866666664,5.859639014999999,0.20842789720607616,0.19192023026315788,48,hyacinth_dynamic
0.033864098741783664,0.03603001644736842,0.042930072394622126,0.04846833881578947,0.07782746087617973,0.08162006578947369,2.4371445277201933,3.4687715941104553,1.0,219285162400.0,18813,40 ToRs,0.10409091574934379,0.08259662828947369,0.5295886430663491,0.515813533195131,3.7391403,2.90327329,0.19086729026212534,0.2245579769736842,0.2990958073924631,0.30206620065789475,0.03548791346667435,0.033048930921052634,40,5.8823002,4.377034125,5.345197095,0.21583644111680791,0.19161184210526316,49,hyacinth_dynamic
0.025686191119797676,0.025082236842105265,0.03777832062141009,0.04260896381578947,0.08655477127882846,0.08033511513157894,2.467087514837596,3.5063666774576454,1.0,209257888600.0,18534,40 ToRs,0.10072345531772069,0.08429276315789473,0.5265063216355133,0.5196395813100249,3.7741008,2.75439003,0.19128822526401235,0.22008634868421054,0.30014299100871683,0.3095703125,0.04927500704196014,0.047388980263157895,40,5.809041,4.196181758333333,5.51917411,0.20855103834755376,0.19063527960526316,50,hyacinth_dynamic
0.029035602768585567,0.031044407894736843,0.03905374482777622,0.04168379934210526,0.06710635932140685,0.0703125,2.440644820295983,3.5050211416490487,1.0,214155728000.0,18920,40 ToRs,0.1049869135570169,0.07730263157894737,0.5376546421396676,0.5321881606765327,4.09644,2.8785455325,0.19695597740539367,0.23894942434210525,0.31231480774068904,0.3118832236842105,0.032086064993770445,0.027549342105263157,40,6.26108,4.278290345,5.54705313,0.2184605293853613,0.20127467105263158,51,hyacinth_dynamic
0.03868487690876438,0.03916529605263158,0.0796750424005794,0.08295641447368421,0.12225059137579615,0.13430304276315788,4.174603174603175,4.266302016302016,1.7,206453434800.0,18648,40 ToRs,0.07730535223660973,0.03412828947368421,0.10659696856736432,0.04584942084942085,1.4771,0.5571470962025317,0.009454588956975705,0.004420230263157895,0.6126345680185815,0.6581003289473685,0.04494942519337331,0.041529605263157895,40,10.0729401,6.679107636666667,8.649056945,0.015045554909319787,0.005396792763157895,42,hyacinth_preset_t10
0.0371394209672506,0.034642269736842105,0.07304884905282345,0.07894736842105263,0.13024451165834644,0.12428042763157894,4.021460378775686,4.152261387413488,1.7,215625061600.0,18639,40 ToRs,0.07271490238542397,0.047440378289473686,0.10650548934150426,0.06540050431890122,1.72711,0.5741313175,0.01517997996446943,0.008018092105263159,0.6147301961945915,0.657483552631579,0.04290069197765284,0.0419921875,40,9.9182721,6.868873475,8.848057,0.014041447799441806,0.007195723684210526,43,hyacinth_preset_t10
0.03601397676151162,0.036595394736842105,0.07179063869575449,0.07092927631578948,0.11758935317667124,0.11893503289473684,4.197709110282365,4.288279168886521,1.7,208430639200.0,18770,40 ToRs,0.07574312394119005,0.033717105263157895,0.1050448930350927,0.045285029302077784,1.311202,0.5542930177215191,0.008900905654005498,0.004214638157894737,0.6395015440161835,0.694592927631579,0.03358782365824872,0.03525904605263158,40,10.1455001,6.767221748333333,8.85386368,0.016872634096434865,0.005756578947368421,44,hyacinth_preset_t10
0.03366607106938809,0.03160978618421053,0.05996254956488425,0.07000411184210527,0.14059586303547547,0.14309210526315788,4.071909392029063,4.182604979164441,1.7,221747266800.0,18718,40 ToRs,0.07154581993246091,0.037520559210526314,0.1067556075960617,0.055347793567688854,1.7182,0.6069939538461538,0.013460089825496489,0.007966694078947368,0.6227826764534385,0.6641138980263158,0.04056810497654367,0.037931743421052634,40,9.5822561,7.111961789166667,9.168767585,0.017418825142312567,0.007761101973684211,45,hyacinth_preset_t10
0.038029939329640654,0.03721217105263158,0.07525913270648268,0.0757092927631579,0.11937821320666918,0.12751850328947367,4.148314606741573,4.245050829320492,1.7,214902236900.0,18690,40 ToRs,0.07784057088216763,0.037571957236842105,0.10518296564087556,0.04836811128945961,1.2989,0.5795911435897436,0.006798779616096284,0.004317434210526316,0.6305262721542808,0.6737253289473685,0.035340718546669314,0.03937088815789474,40,11.0232311,6.9028584691666675,9.025079575,0.016826373557993476,0.004574424342105263,46,hyacinth_preset_t10
0.040654844659162075,0.044510690789473686,0.07177914197629813,0.0673828125,0.1260962190905712,0.12849506578947367,4.134757426005633,4.233487432913545,1.7,209902786600.0,18819,40 ToRs,0.07186309845732812,0.03438527960526316,0.10711465323633775,0.049365003453956106,1.4614,0.5692066886075949,0.010431899361843204,0.005448190789473684,0.6213508810176777,0.6791221217105263,0.03696360360216454,0.032740542763157895,40,9.6774015,6.737310271666667,8.518116605,0.02086031183495512,0.007915296052631578,47,hyacinth_preset_t10
0.028334041377985286,0.03453947368421053,0.06795868982137457,0.06409333881578948,0.14846381337191314,0.14345189144736842,4.198795828405548,4.279754865068273,1.7,219523516200.0,18602,40 ToRs,0.07788119710827486,0.028628700657894735,0.1068138867575227,0.04047951833136222,1.5364,0.5862040000000001,0.009120084782738886,0.004780016447368421,0.6087701951307587,0.6753186677631579,0.04440213853803955,0.04389391447368421,40,10.2242146,7.035531375833333,9.3793528,0.015069839868914968,0.005293996710526316,48,hyacinth_preset_t10
0.045044223175199814,0.04384251644736842,0.0723335405865365,0.08064350328947369,0.12810299914746318,0.12731291118421054,4.114761069473237,4.220964226864402,1.7,219285162400.0,18813,40 ToRs,0.07481513507840908,0.038497121710526314,0.10595988367701799,0.053101578695582845,1.87302,0.588238741772152,0.00902185644479545,0.005602384868421052,0.616831735129977,0.663805509868421,0.03548791346667435,0.033048930921052634,40,11.0411511,7.05231561,8.96693318,0.01836259697094457,0.007247121710526316,49,hyacinth_preset_t10
0.03593264702151274,0.03608141447368421,0.05933800878729912,0.06630345394736842,0.130358418451899,0.12654194078947367,4.104132944858098,4.21430883781159,1.7,209257888600.0,18534,40 ToRs,0.07137751440720456,0.04091282894736842,0.1066864439346159,0.05508794647674544,1.1983,0.5581245,0.010800101371950262,0.005962171052631579,0.623666450038873,0.6712068256578947,0.04927500704196014,0.047388980263157895,40,10.0120616,6.75455655,8.932795115,0.01925185287930119,0.005602384868421052,50,hyacinth_preset_t10
0.03594401431818052,0.03926809210526316,0.059168428103892896,0.06918174342105263,0.11793936268845501,0.1177014802631579,4.178329809725159,4.2775898520084565,1.7,214155728000.0,18920,40 ToRs,0.07126676202213222,0.03387129934210526,0.107104080354087,0.04963002114164905,1.71246,0.5734238075,0.009603989475886386,0.0060135690789473685,0.6511945980249534,0.6980365953947368,0.032086064993770445,0.027549342105263157,40,9.9073432,7.007628835833333,9.11347048,0.022796780372729145,0.008377878289473685,51,hyacinth_preset_t10
0.037792890240883906,0.03736636513157895,0.08135016398692646,0.0834703947368421,0.121810247063925,0.1318873355263158,3.8385885885885886,4.076362076362076,1.478,206453434800.0,18648,40 ToRs,0.1098796026607173,0.06501850328947369,0.2037711682576472,0.11888674388674389,2.1262,1.05173144,0.03716093900161221,0.02425986842105263,0.5194855021414075,0.591796875,0.04494942519337331,0.041529605263157895,40,9.495323,5.91914094,7.86898415,0.04757122971115432,0.024671052631578948,42,hyacinth_preset_t20
0.03682339296926683,0.03515625,0.06969108242335102,0.0751953125,0.12614300417558927,0.12263569078947369,3.7084071033853747,3.9840656687590537,1.478,215625061600.0,18639,40 ToRs,0.1006698829467237,0.07735402960526316,0.2061026472073133,0.13782928268683942,2.280011,1.1110224,0.04606104430862915,0.026881167763157895,0.5271811274304465,0.5929790296052632,0.04290069197765284,0.0419921875,40,8.89676,6.146375349166666,7.92820425,0.05052977376834065,0.027806332236842105,43,hyacinth_preset_t20
