1_hop_ocs_byte_share_mean,1_hop_ocs_byte_share_std,1_hop_ocs_flow_share_mean,1_hop_ocs_flow_share_std,2_hop_ocs_byte_share_mean,2_hop_ocs_byte_share_std,2_hop_ocs_flow_share_mean,2_hop_ocs_flow_share_std,3_hop_ocs_byte_share_mean,3_hop_ocs_byte_share_std,3_hop_ocs_flow_share_mean,3_hop_ocs_flow_share_std,avg_ocs_hops_core_mean,avg_ocs_hops_core_std,avg_total_hops_core_mean,avg_total_hops_core_std,cct_relative_mean_mean,cct_relative_mean_std,core_bytes_mean,core_bytes_std,core_flows_mean,core_flows_std,dataset,direct_eps_byte_share_mean,direct_eps_byte_share_std,direct_eps_flow_share_mean,direct_eps_flow_share_std,eps_core_byte_share_mean,eps_core_byte_share_std,eps_core_flow_share_mean,eps_core_flow_share_std,eps_max_link_gb_mean,eps_max_link_gb_std,eps_mean_active_link_gb_mean,eps_mean_active_link_gb_std,eps_then_ocs_byte_share_mean,eps_then_ocs_byte_share_std,eps_then_ocs_flow_share_mean,eps_then_ocs_flow_share_std,gt3_hop_ocs_byte_share_mean,gt3_hop_ocs_byte_share_std,gt3_hop_ocs_flow_share_mean,gt3_hop_ocs_flow_share_std,intra_rack_byte_share_mean,intra_rack_byte_share_std,intra_rack_flow_share_mean,intra_rack_flow_share_std,num_tor_mean,num_tor_std,ocs_max_link_gb_mean,ocs_max_link_gb_std,ocs_mean_active_link_gb_mean,ocs_mean_active_link_gb_std,ocs_p95_link_gb_mean,ocs_p95_link_gb_std,ocs_then_eps_byte_share_mean,ocs_then_eps_byte_share_std,ocs_then_eps_flow_share_mean,ocs_then_eps_flow_share_std,seeds,tag
0.017285597600543413,0.003500771490097653,0.007843338815789474,0.0011240079714503817,0.03207614775942113,0.003340846571470187,0.01572779605263158,0.0018138479274035365,0.0689099109574076,0.0061725161041313,0.031707442434210524,0.0024860338572323232,2.1389345661736305,0.021543960431543212,3.2874324293191903,0.014260006669474436,1.9129999999999998,2.220446049250313e-16,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.09550078275178704,0.0007177237729929032,0.5523900082236841,0.005790076064754012,0.09943373975193537,0.00043750294441896576,0.5742489315727797,0.004589170164229448,0.89164884,0.05572974938582084,0.5331945121602564,0.014835519655560047,0.0,0.0,0.0,0.0,0.7466714117313311,0.009994879751784917,0.354260896381579,0.004257249218797147,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,11.1701,0.4554877495608418,8.056564166666666,0.1727855658054066,10.102160000000001,0.3866983991433113,0.0,0.0,0.0,0.0,10,helios_t10
0.015458366573234128,0.003486816661406637,0.0056846217105263165,0.0009574943274831428,0.028246328264759573,0.0032671166935176895,0.011163651315789475,0.0015095277447188017,0.0613419135970051,0.005811436152618812,0.022728207236842105,0.0018038876729932994,1.542427240885002,0.021018267250554376,2.928816526977027,0.012107916742451888,1.6919999999999997,2.220446049250313e-16,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.19135368421899238,0.0011112851607962743,0.6668071546052632,0.006424473678126062,0.199236067951781,0.0008035106056104552,0.6931946430460124,0.004878466190055894,1.66380926,0.12434132991349416,1.068401883955128,0.030975313283387464,0.0,0.0,0.0,0.0,0.6640435581464991,0.009578801720610585,0.25554584703947364,0.0035176269992733514,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,10.1525,0.5385965558746174,7.1644491666666665,0.15189845637107924,9.1161,0.3807104785791952,0.0,0.0,0.0,0.0,10,helios_t20
0.013800183154693035,0.0034940122910564323,0.004291735197368421,0.0006889061363207183,0.02444277905062584,0.002965292482439089,0.0080078125,0.001065514680908712,0.054311579598533444,0.005310023527045528,0.016714638157894736,0.00139397663510286,1.1207020910212537,0.022466571986775274,2.6749088411161424,0.012615076277504238,1.5180000000000002,2.220446049250313e-16,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.287208581364424,0.0016434961830133564,0.7475174753289473,0.006515763697943391,0.2990382634224201,0.000803889999644082,0.7771033750474443,0.0051736958828157275,2.42606112,0.14590801031365483,1.6036302813910255,0.04768503694808493,0.0,0.0,0.0,0.0,0.5806807276322139,0.009175329194685925,0.18539782072368421,0.003932298369842613,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,9.123,0.5307739631896049,6.2700916666666675,0.1337745379879476,8.118799999999998,0.3073264713622958,0.0,0.0,0.0,0.0,10,helios_t30
0.0118504316971836,0.0031947732535402705,0.003063322368421053,0.0005252667060461027,0.020767281272056737,0.002938044107911932,0.005694901315789473,0.0007035336608663106,0.046897184846305576,0.005367113319478828,0.012217310855263157,0.0012169615659359976,0.8123423070812177,0.02212837249755745,2.4890586493003837,0.013039457202685999,1.237,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.38262368408344855,0.0026082958273070424,0.8064401726973685,0.006420699790364099,0.3983806573008345,0.0010829844433099666,0.8383581711095831,0.0047261094377382745,3.1546924,0.16520886786901004,2.1363706660064103,0.06364191417740471,0.0,0.0,0.0,0.0,0.4983052689014958,0.008948621395488167,0.1345137746710526,0.003933708917716879,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,8.027999999999999,0.2898896341713515,5.378349999999999,0.11255713240641647,7.101999999999999,0.316119360368833,0.0,0.0,0.0,0.0,10,helios_t40
0.010062301087268946,0.0028692521140835344,0.002240953947368421,0.00041131268552102297,0.016997871264124196,0.0028632953837525845,0.0038394325657894733,0.0005381105803966994,0.04002467452468793,0.005280374689219877,0.008881578947368423,0.0008949162448031197,0.5682240615742677,0.021975307777614188,2.3417558369184666,0.01314312704801063,1.057,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.47750228164393765,0.003595131919435532,0.8530067845394737,0.006751222223706954,0.4971642664800102,0.0014677842980265286,0.8867658876720993,0.0045732686600516706,4.055452239999999,0.2655521686282648,2.66607066600641,0.07803954812803332,0.0,0.0,0.0,0.0,0.41585672228047155,0.008254543630344464,0.09396073190789475,0.0039584122478566125,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,7.004,0.24315427201675902,4.492475,0.09950850780209684,6.107049999999999,0.28599103569867373,0.0,0.0,0.0,0.0,10,helios_t50
0.008534750615331177,0.0026472297560439337,0.0016036184210526314,0.00031583658502749217,0.013535772609308555,0.002053160457061755,0.0025956003289473685,0.0003621646593329115,0.031975148182740665,0.004328022672538253,0.0059056332236842105,0.0006878315787161936,0.3821996021376731,0.020909319965556703,2.2295901484920373,0.01204637877300877,0.983,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.5713407752970305,0.003892245297440225,0.8885331003289474,0.00723818716298523,0.5948689899499271,0.0014544174532024482,0.9236952731771823,0.004508766456831616,4.95143518,0.4091676525821899,3.1898232301089746,0.08622975656612981,0.0,0.0,0.0,0.0,0.3350574040960794,0.007421381689807439,0.06329152960526316,0.0036368017285793503,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,6.058000000000001,0.35022278623756053,3.6160583333333327,0.0893454442194888,5.1551,0.3197562196424021,0.0,0.0,0.0,0.0,10,helios_t60
0.006748324159440269,0.002613898665847819,0.001089638157894737,0.0003321442109663551,0.010381261640673881,0.0023690213446346136,0.0017475328947368421,0.00034325262864029607,0.023721248912070832,0.0036646845441437093,0.003834292763157895,0.0005779478946081661,0.2493132952887621,0.015561900946488178,2.1497434849084236,0.009245444143756013,1.061,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.6655295692394294,0.003805539435765856,0.9140419407894737,0.006521524493709269,0.6929408228085364,0.0015058656731306867,0.9502150948098306,0.0032243725537201584,5.7761591800000005,0.48446383085941475,3.71588284549359,0.10682444255497493,0.0,0.0,0.0,0.0,0.25406344684887594,0.006673671646867324,0.04121607730263158,0.0026960653308625076,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,4.861,0.29760544349860263,2.7412666666666667,0.07168443384414465,4.08505,0.22240519890506155,0.0,0.0,0.0,0.0,10,helios_t70
0.004647221959032268,0.0022837132691695015,0.0006784539473684211,0.0003039010176623043,0.007057820889895332,0.0021143789229759995,0.0010382401315789473,0.00028226830217405386,0.016732997063825816,0.003019241669218004,0.0023797286184210524,0.00032102172018148005,0.14990924009143974,0.008251793445540735,2.0897647417381657,0.004955406281748925,1.1590000000000003,2.220446049250313e-16,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.7596838497948797,0.004433521671578574,0.9330026726973684,0.005860648540758229,0.7909718027102035,0.0013283477282817662,0.9699277508233631,0.0017698405581318987,6.71316008,0.5682843217461288,4.241561691647435,0.12143103798320552,0.0,0.0,0.0,0.0,0.1723219610928572,0.005548248108573987,0.024830386513157894,0.0015759090839096324,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,3.5869999999999997,0.3460650227919602,1.8579666666666665,0.06132381266685889,2.92015,0.2381444992016402,0.0,0.0,0.0,0.0,10,helios_t80
0.002156288767459186,0.0014144743595556745,0.0003238075657894737,0.00021073190789473682,0.004326578866727175,0.0015254137610515213,0.0005859375,0.00022071248513141334,0.009065680637918029,0.0013868773156576215,0.0012129934210526317,0.0002006498899665207,0.07453076555021357,0.0034619950058574628,2.0445664663559304,0.0024029967237235448,1.26,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.855094339410632,0.004538239699897427,0.9475174753289475,0.005589518229140417,0.8903147398007125,0.0016704416225972504,0.9850178504028582,0.0006729843976732805,7.62562968,0.5873783308028663,4.7743495121602555,0.13909797998789172,0.0,0.0,0.0,0.0,0.08980096311775407,0.0033553858688512373,0.012289268092105263,0.000676601869230415,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,2.2009999999999996,0.29689897271630966,0.9750444677871147,0.04074463853767833,1.67805,0.10213506988297408,0.0,0.0,0.0,0.0,10,helios_t90
0.02742214898322151,0.0030510168217224285,0.028351151315789476,0.0040101134080166,0.043520498283034295,0.004639560611633219,0.04580592105263158,0.004516643784721136,0.0782316727145091,0.007864385004519836,0.07936883223684212,0.006352588128410514,2.4490283035537512,0.03349203195443478,3.4913187007425464,0.025062746550687427,1.0,0.0,213928372110.0,4991325697.459917,18715.3,110.40747257319134,40 ToRs,0.10193877177073088,0.0022976245838754674,0.08360402960526316,0.0026008823356691558,0.5304167944156315,0.00499047021416989,0.5211451985943973,0.008107274283468127,4.20195045,0.34473845861434504,2.83677241175,0.0708140287480904,0.19162045205714195,0.0036518430098548445,0.22287212171052634,0.006224417702983437,0.3018137717188237,0.007272042073655469,0.3070723684210527,0.008612205191878615,0.039556149199509685,0.005400944503647806,0.03807051809210526,0.005674726180776694,40.0,0.0,6.05023299,0.31625006121969196,4.268028880499999,0.09664714004074891,5.433785563000001,0.21445025950126614,0.21589653527302896,0.004751540531471234,0.1948550575657895,0.007519390720932065,10,hyacinth_dynamic
