case_base,seed,scheduler,avg_relative_fct_vs_dynamic
mix20S,43,ocs_eps_pruned,0.988
mix20S,43,ocs_eps_large_small,1.247
mix20S,43,ocs_eps_preset_greedy,1.075
mix20S,43,pure_ocs_3hop_preset,1.052
mix20S,44,ocs_eps_global_ksp,1.307
mix20S,44,pure_ocs_ksp,1.044
mix20S,44,eps_ecmp,0.934
mix20S,44,pure_ocs_ksp_greedy,1.041
mix20S,44,ocs_eps_preset_dynamic_greedy,1.000
mix20S,44,pure_ocs_pruned,1.017
mix20S,44,ocs_eps_pruned,1.008
mix20S,44,ocs_eps_large_small,1.273
mix20S,44,ocs_eps_preset_greedy,1.027
mix20S,44,pure_ocs_3hop_preset,1.017
mix20S,45,ocs_eps_global_ksp,1.261
mix20S,45,pure_ocs_ksp,1.043
mix20S,45,eps_ecmp,0.949
mix20S,45,pure_ocs_ksp_greedy,1.023
mix20S,45,ocs_eps_preset_dynamic_greedy,1.000
mix20S,45,pure_ocs_pruned,1.028
mix20S,45,ocs_eps_pruned,0.973
mix20S,45,ocs_eps_large_small,1.620
mix20S,45,ocs_eps_preset_greedy,1.004
mix20S,45,pure_ocs_3hop_preset,1.028
mix20S,46,ocs_eps_global_ksp,1.238
mix20S,46,pure_ocs_ksp,1.037
mix20S,46,eps_ecmp,0.959
mix20S,46,pure_ocs_ksp_greedy,1.047
mix20S,46,ocs_eps_preset_dynamic_greedy,1.000
mix20S,46,pure_ocs_pruned,1.007
mix20S,46,ocs_eps_pruned,1.002
mix20S,46,ocs_eps_large_small,1.787
mix20S,46,ocs_eps_preset_greedy,1.003
mix20S,46,pure_ocs_3hop_preset,1.007
mix20S,47,ocs_eps_global_ksp,1.311
mix20S,47,pure_ocs_ksp,1.053
mix20S,47,eps_ecmp,0.942
mix20S,47,pure_ocs_ksp_greedy,1.039
mix20S,47,ocs_eps_preset_dynamic_greedy,1.000
mix20S,47,pure_ocs_pruned,1.016
mix20S,47,ocs_eps_pruned,0.973
mix20S,47,ocs_eps_large_small,1.872
mix20S,47,ocs_eps_preset_greedy,1.029
mix20S,47,pure_ocs_3hop_preset,1.016
mix20S,48,ocs_eps_global_ksp,1.357
mix20S,48,pure_ocs_ksp,1.020
mix20S,48,eps_ecmp,0.966
mix20S,48,pure_ocs_ksp_greedy,1.015
mix20S,48,ocs_eps_preset_dynamic_greedy,1.000
mix20S,48,pure_ocs_pruned,1.037
mix20S,48,ocs_eps_pruned,0.974
mix20S,48,ocs_eps_large_small,1.347
mix20S,48,ocs_eps_preset_greedy,1.064
mix20S,48,pure_ocs_3hop_preset,1.037
mix20S,49,ocs_eps_global_ksp,1.221
mix20S,49,pure_ocs_ksp,1.009
mix20S,49,eps_ecmp,0.917
mix20S,49,pure_ocs_ksp_greedy,1.005
mix20S,49,ocs_eps_preset_dynamic_greedy,1.000
mix20S,49,pure_ocs_pruned,0.995
mix20S,49,ocs_eps_pruned,0.961
mix20S,49,ocs_eps_large_small,1.191
mix20S,49,ocs_eps_preset_greedy,1.004
mix20S,49,pure_ocs_3hop_preset,0.995
mix20S,50,ocs_eps_global_ksp,1.524
mix20S,50,pure_ocs_ksp,1.084
mix20S,50,eps_ecmp,0.953
mix20S,50,pure_ocs_ksp_greedy,1.066
mix20S,50,ocs_eps_preset_dynamic_greedy,1.000
mix20S,50,pure_ocs_pruned,1.045
mix20S,50,ocs_eps_pruned,0.986
mix20S,50,ocs_eps_large_small,1.821
mix20S,50,ocs_eps_preset_greedy,1.041
mix20S,50,pure_ocs_3hop_preset,1.045
mix20S,51,ocs_eps_global_ksp,1.270
mix20S,51,pure_ocs_ksp,1.033
mix20S,51,eps_ecmp,0.953
mix20S,51,pure_ocs_ksp_greedy,0.987
mix20S,51,ocs_eps_preset_dynamic_greedy,1.000
mix20S,51,pure_ocs_pruned,1.007
mix20S,51,ocs_eps_pruned,0.968
mix20S,51,ocs_eps_large_small,1.396
mix20S,51,ocs_eps_preset_greedy,0.992
mix20S,51,pure_ocs_3hop_preset,1.007
mix4L3M3S,42,ocs_eps_global_ksp,1.174
mix4L3M3S,42,pure_ocs_ksp,1.032
mix4L3M3S,42,eps_ecmp,1.003
mix4L3M3S,42,pure_ocs_ksp_greedy,1.019
mix4L3M3S,42,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,42,pure_ocs_pruned,0.999
mix4L3M3S,42,ocs_eps_pruned,0.999
mix4L3M3S,42,ocs_eps_large_small,1.079
mix4L3M3S,42,ocs_eps_preset_greedy,0.999
mix4L3M3S,42,pure_ocs_3hop_preset,0.999
mix4L3M3S,43,ocs_eps_global_ksp,1.239
mix4L3M3S,43,pure_ocs_ksp,1.061
mix4L3M3S,43,eps_ecmp,1.000
mix4L3M3S,43,pure_ocs_ksp_greedy,1.037
mix4L3M3S,43,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,43,pure_ocs_pruned,0.994
mix4L3M3S,43,ocs_eps_pruned,1.015
mix4L3M3S,43,ocs_eps_large_small,1.126
mix4L3M3S,43,ocs_eps_preset_greedy,1.015
mix4L3M3S,43,pure_ocs_3hop_preset,0.994
mix4L3M3S,44,ocs_eps_global_ksp,1.324
mix4L3M3S,44,pure_ocs_ksp,1.034
mix4L3M3S,44,eps_ecmp,0.948
mix4L3M3S,44,pure_ocs_ksp_greedy,1.003
mix4L3M3S,44,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,44,pure_ocs_pruned,1.020
mix4L3M3S,44,ocs_eps_pruned,0.969
mix4L3M3S,44,ocs_eps_large_small,1.441
mix4L3M3S,44,ocs_eps_preset_greedy,1.039
mix4L3M3S,44,pure_ocs_3hop_preset,1.020
mix4L3M3S,45,ocs_eps_global_ksp,1.207
mix4L3M3S,45,pure_ocs_ksp,1.055
mix4L3M3S,45,eps_ecmp,0.980
mix4L3M3S,45,pure_ocs_ksp_greedy,1.012
mix4L3M3S,45,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,45,pure_ocs_pruned,0.986
mix4L3M3S,45,ocs_eps_pruned,0.972
mix4L3M3S,45,ocs_eps_large_small,1.082
mix4L3M3S,45,ocs_eps_preset_greedy,1.001
mix4L3M3S,45,pure_ocs_3hop_preset,0.986
mix4L3M3S,46,ocs_eps_global_ksp,1.360
mix4L3M3S,46,pure_ocs_ksp,1.066
mix4L3M3S,46,eps_ecmp,1.029
mix4L3M3S,46,pure_ocs_ksp_greedy,1.032
mix4L3M3S,46,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,46,pure_ocs_pruned,1.043
mix4L3M3S,46,ocs_eps_pruned,1.029
mix4L3M3S,46,ocs_eps_large_small,1.206
mix4L3M3S,46,ocs_eps_preset_greedy,1.021
mix4L3M3S,46,pure_ocs_3hop_preset,1.043
mix4L3M3S,47,ocs_eps_global_ksp,1.277
mix4L3M3S,47,pure_ocs_ksp,1.064
mix4L3M3S,47,eps_ecmp,0.986
mix4L3M3S,47,pure_ocs_ksp_greedy,1.064
mix4L3M3S,47,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,47,pure_ocs_pruned,1.009
mix4L3M3S,47,ocs_eps_pruned,1.001
mix4L3M3S,47,ocs_eps_large_small,1.179
mix4L3M3S,47,ocs_eps_preset_greedy,1.034
mix4L3M3S,47,pure_ocs_3hop_preset,1.009
mix4L3M3S,48,ocs_eps_global_ksp,1.329
mix4L3M3S,48,pure_ocs_ksp,1.047
mix4L3M3S,48,eps_ecmp,1.006
mix4L3M3S,48,pure_ocs_ksp_greedy,0.965
mix4L3M3S,48,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,48,pure_ocs_pruned,0.980
mix4L3M3S,48,ocs_eps_pruned,0.983
mix4L3M3S,48,ocs_eps_large_small,1.153
mix4L3M3S,48,ocs_eps_preset_greedy,1.005
mix4L3M3S,48,pure_ocs_3hop_preset,0.980
mix4L3M3S,49,ocs_eps_global_ksp,1.232
mix4L3M3S,49,pure_ocs_ksp,1.026
mix4L3M3S,49,eps_ecmp,1.010
mix4L3M3S,49,pure_ocs_ksp_greedy,0.993
mix4L3M3S,49,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,49,pure_ocs_pruned,1.013
mix4L3M3S,49,ocs_eps_pruned,1.037
mix4L3M3S,49,ocs_eps_large_small,1.040
mix4L3M3S,49,ocs_eps_preset_greedy,0.994
mix4L3M3S,49,pure_ocs_3hop_preset,1.013
mix4L3M3S,50,ocs_eps_global_ksp,1.305
mix4L3M3S,50,pure_ocs_ksp,1.075
mix4L3M3S,50,eps_ecmp,0.968
mix4L3M3S,50,pure_ocs_ksp_greedy,1.026
mix4L3M3S,50,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,50,pure_ocs_pruned,1.043
mix4L3M3S,50,ocs_eps_pruned,1.002
mix4L3M3S,50,ocs_eps_large_small,1.455
mix4L3M3S,50,ocs_eps_preset_greedy,1.032
mix4L3M3S,50,pure_ocs_3hop_preset,1.043
mix4L3M3S,51,ocs_eps_global_ksp,1.327
mix4L3M3S,51,pure_ocs_ksp,1.050
mix4L3M3S,51,eps_ecmp,1.000
mix4L3M3S,51,pure_ocs_ksp_greedy,1.002
mix4L3M3S,51,ocs_eps_preset_dynamic_greedy,1.000
mix4L3M3S,51,pure_ocs_pruned,1.012
mix4L3M3S,51,ocs_eps_pruned,1.006
mix4L3M3S,51,ocs_eps_large_small,1.980
mix4L3M3S,51,ocs_eps_preset_greedy,1.030
mix4L3M3S,51,pure_ocs_3hop_preset,1.012
