scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.027,17,17,17
helios_t20,1.980,17,17,17
helios_t30,3.516,17,17,17
helios_t40,4.076,17,17,17
helios_t50,5.538,17,17,17
helios_t60,6.711,17,17,17
helios_t70,10.045,17,17,17
helios_t80,11.620,17,17,17
helios_t90,35.416,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.064,17,17,17
hyacinth_preset_t20,1.030,17,17,17
hyacinth_preset_t30,1.032,17,17,17
hyacinth_preset_t40,1.011,17,17,17
hyacinth_preset_t50,1.049,17,17,17
hyacinth_preset_t60,1.052,17,17,17
hyacinth_preset_t70,1.106,17,17,17
hyacinth_preset_t80,1.195,17,17,17
hyacinth_preset_t90,1.417,17,17,17
