scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,99.0,2195.183,1.106,2195.183,1.106,80,0
helios_t20,99.0,1728.675,0.871,1728.675,0.871,80,0
helios_t30,99.0,1741.707,0.877,1741.707,0.877,80,0
helios_t40,99.0,2074.434,1.045,2074.434,1.045,80,0
helios_t50,99.0,2449.069,1.234,2449.069,1.234,80,0
helios_t60,99.0,2431.021,1.225,2431.021,1.225,80,0
helios_t70,99.0,2366.229,1.192,2366.229,1.192,80,0
helios_t80,99.0,3505.124,1.766,3505.124,1.766,80,0
helios_t90,99.0,3653.169,1.840,3653.169,1.840,80,0
hyacinth_dynamic,99.0,1985.071,1.000,1985.071,1.000,80,0
hyacinth_preset_t10,99.0,1646.929,0.830,1646.929,0.830,80,0
hyacinth_preset_t20,99.0,1647.362,0.830,1647.362,0.830,80,0
hyacinth_preset_t30,99.0,1975.231,0.995,1975.231,0.995,80,0
hyacinth_preset_t40,99.0,1558.537,0.785,1558.537,0.785,80,0
hyacinth_preset_t50,99.0,2000.731,1.008,2000.731,1.008,80,0
hyacinth_preset_t60,99.0,2382.745,1.200,2382.745,1.200,80,0
hyacinth_preset_t70,99.0,2740.247,1.380,2740.247,1.380,80,0
hyacinth_preset_t80,99.0,3117.304,1.570,3117.304,1.570,80,0
hyacinth_preset_t90,99.0,4021.732,2.026,4021.732,2.026,80,0
