case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.167,0.223
n20_mix1L1M1S,pure_ocs_ksp,10,1.147,0.286
n20_mix1L1M1S,eps_ecmp,10,0.754,0.159
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.070,0.206
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_pruned,10,1.035,0.282
n20_mix1L1M1S,ocs_eps_pruned,10,0.928,0.248
n20_mix1L1M1S,ocs_eps_large_small,10,1.823,0.381
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.328,0.237
n20_mix1L1M1S,pure_ocs_3hop_preset,10,1.035,0.282
n40_mix3L2M1S,ocs_eps_global_ksp,10,1.236,0.174
n40_mix3L2M1S,pure_ocs_ksp,10,1.312,0.239
n40_mix3L2M1S,eps_ecmp,10,0.720,0.123
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.210,0.187
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_pruned,10,1.191,0.185
n40_mix3L2M1S,ocs_eps_pruned,10,1.041,0.174
n40_mix3L2M1S,ocs_eps_large_small,10,1.655,0.256
n40_mix3L2M1S,ocs_eps_preset_greedy,10,1.416,0.230
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.191,0.185
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.561,0.215
n80_mix4L3M3S,pure_ocs_ksp,10,1.054,0.112
n80_mix4L3M3S,eps_ecmp,10,1.098,0.126
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.004,0.124
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_pruned,10,0.999,0.122
n80_mix4L3M3S,ocs_eps_pruned,10,0.990,0.130
n80_mix4L3M3S,ocs_eps_large_small,10,1.018,0.099
n80_mix4L3M3S,ocs_eps_preset_greedy,10,0.997,0.119
n80_mix4L3M3S,pure_ocs_3hop_preset,10,0.999,0.122
