case_base,seed,scheduler,avg_solve_time_ms
n20_mix1L1M1S,51,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,51,pure_ocs_ksp,0.000
n20_mix1L1M1S,51,eps_ecmp,0.000
n20_mix1L1M1S,51,pure_ocs_ksp_greedy,0.098
n20_mix1L1M1S,51,ocs_eps_preset_dynamic_greedy,0.242
n20_mix1L1M1S,51,pure_ocs_pruned,0.456
n20_mix1L1M1S,51,ocs_eps_pruned,0.333
n20_mix1L1M1S,51,ocs_eps_large_small,0.000
n20_mix1L1M1S,51,ocs_eps_preset_greedy,0.126
n20_mix1L1M1S,51,pure_ocs_3hop_preset,0.380
n40_mix3L2M1S,42,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,42,pure_ocs_ksp,0.000
n40_mix3L2M1S,42,eps_ecmp,0.000
n40_mix3L2M1S,42,pure_ocs_ksp_greedy,0.171
n40_mix3L2M1S,42,ocs_eps_preset_dynamic_greedy,0.323
n40_mix3L2M1S,42,pure_ocs_pruned,0.261
n40_mix3L2M1S,42,ocs_eps_pruned,0.370
n40_mix3L2M1S,42,ocs_eps_large_small,0.000
n40_mix3L2M1S,42,ocs_eps_preset_greedy,0.169
n40_mix3L2M1S,42,pure_ocs_3hop_preset,0.283
n40_mix3L2M1S,43,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,43,pure_ocs_ksp,0.000
n40_mix3L2M1S,43,eps_ecmp,0.000
n40_mix3L2M1S,43,pure_ocs_ksp_greedy,0.169
n40_mix3L2M1S,43,ocs_eps_preset_dynamic_greedy,0.275
n40_mix3L2M1S,43,pure_ocs_pruned,0.311
n40_mix3L2M1S,43,ocs_eps_pruned,0.298
n40_mix3L2M1S,43,ocs_eps_large_small,0.000
n40_mix3L2M1S,43,ocs_eps_preset_greedy,0.156
n40_mix3L2M1S,43,pure_ocs_3hop_preset,0.276
n40_mix3L2M1S,44,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,44,pure_ocs_ksp,0.000
n40_mix3L2M1S,44,eps_ecmp,0.000
n40_mix3L2M1S,44,pure_ocs_ksp_greedy,0.153
n40_mix3L2M1S,44,ocs_eps_preset_dynamic_greedy,1.029
n40_mix3L2M1S,44,pure_ocs_pruned,0.530
n40_mix3L2M1S,44,ocs_eps_pruned,0.364
n40_mix3L2M1S,44,ocs_eps_large_small,0.000
n40_mix3L2M1S,44,ocs_eps_preset_greedy,0.169
n40_mix3L2M1S,44,pure_ocs_3hop_preset,1.056
n40_mix3L2M1S,45,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,45,pure_ocs_ksp,0.000
n40_mix3L2M1S,45,eps_ecmp,0.000
n40_mix3L2M1S,45,pure_ocs_ksp_greedy,0.164
n40_mix3L2M1S,45,ocs_eps_preset_dynamic_greedy,0.283
n40_mix3L2M1S,45,pure_ocs_pruned,0.299
n40_mix3L2M1S,45,ocs_eps_pruned,0.391
n40_mix3L2M1S,45,ocs_eps_large_small,0.000
n40_mix3L2M1S,45,ocs_eps_preset_greedy,0.135
n40_mix3L2M1S,45,pure_ocs_3hop_preset,0.299
n40_mix3L2M1S,46,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,46,pure_ocs_ksp,0.000
n40_mix3L2M1S,46,eps_ecmp,0.000
n40_mix3L2M1S,46,pure_ocs_ksp_greedy,0.149
n40_mix3L2M1S,46,ocs_eps_preset_dynamic_greedy,0.335
n40_mix3L2M1S,46,pure_ocs_pruned,0.403
n40_mix3L2M1S,46,ocs_eps_pruned,0.354
n40_mix3L2M1S,46,ocs_eps_large_small,0.000
n40_mix3L2M1S,46,ocs_eps_preset_greedy,0.171
n40_mix3L2M1S,46,pure_ocs_3hop_preset,0.264
n40_mix3L2M1S,47,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,47,pure_ocs_ksp,0.000
n40_mix3L2M1S,47,eps_ecmp,0.000
n40_mix3L2M1S,47,pure_ocs_ksp_greedy,0.195
n40_mix3L2M1S,47,ocs_eps_preset_dynamic_greedy,0.226
n40_mix3L2M1S,47,pure_ocs_pruned,0.259
n40_mix3L2M1S,47,ocs_eps_pruned,0.342
n40_mix3L2M1S,47,ocs_eps_large_small,0.000
n40_mix3L2M1S,47,ocs_eps_preset_greedy,0.171
n40_mix3L2M1S,47,pure_ocs_3hop_preset,0.292
n40_mix3L2M1S,48,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,48,pure_ocs_ksp,0.000
n40_mix3L2M1S,48,eps_ecmp,0.000
n40_mix3L2M1S,48,pure_ocs_ksp_greedy,0.155
n40_mix3L2M1S,48,ocs_eps_preset_dynamic_greedy,0.294
n40_mix3L2M1S,48,pure_ocs_pruned,1.424
n40_mix3L2M1S,48,ocs_eps_pruned,0.346
n40_mix3L2M1S,48,ocs_eps_large_small,0.000
n40_mix3L2M1S,48,ocs_eps_preset_greedy,0.172
n40_mix3L2M1S,48,pure_ocs_3hop_preset,0.299
n40_mix3L2M1S,49,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,49,pure_ocs_ksp,0.000
n40_mix3L2M1S,49,eps_ecmp,0.000
n40_mix3L2M1S,49,pure_ocs_ksp_greedy,0.135
n40_mix3L2M1S,49,ocs_eps_preset_dynamic_greedy,0.395
n40_mix3L2M1S,49,pure_ocs_pruned,0.278
n40_mix3L2M1S,49,ocs_eps_pruned,0.364
n40_mix3L2M1S,49,ocs_eps_large_small,0.000
n40_mix3L2M1S,49,ocs_eps_preset_greedy,0.168
n40_mix3L2M1S,49,pure_ocs_3hop_preset,1.398
n40_mix3L2M1S,50,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,50,pure_ocs_ksp,0.000
n40_mix3L2M1S,50,eps_ecmp,0.000
n40_mix3L2M1S,50,pure_ocs_ksp_greedy,0.173
n40_mix3L2M1S,50,ocs_eps_preset_dynamic_greedy,0.291
n40_mix3L2M1S,50,pure_ocs_pruned,0.264
n40_mix3L2M1S,50,ocs_eps_pruned,0.322
n40_mix3L2M1S,50,ocs_eps_large_small,0.000
n40_mix3L2M1S,50,ocs_eps_preset_greedy,0.170
n40_mix3L2M1S,50,pure_ocs_3hop_preset,0.706
n40_mix3L2M1S,51,ocs_eps_global_ksp,0.000
n40_mix3L2M1S,51,pure_ocs_ksp,0.000
n40_mix3L2M1S,51,eps_ecmp,0.000
n40_mix3L2M1S,51,pure_ocs_ksp_greedy,0.138
n40_mix3L2M1S,51,ocs_eps_preset_dynamic_greedy,0.253
n40_mix3L2M1S,51,pure_ocs_pruned,0.555
n40_mix3L2M1S,51,ocs_eps_pruned,0.355
n40_mix3L2M1S,51,ocs_eps_large_small,0.000
