scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.000,16,16,16
helios_t20,6.159,16,16,16
helios_t30,2.090,16,16,16
helios_t40,3.129,16,16,16
helios_t50,4.682,16,16,16
helios_t60,5.308,16,16,16
helios_t70,5.066,16,16,16
helios_t80,6.097,16,16,16
helios_t90,14.743,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,2.280,16,16,16
hyacinth_preset_t20,1.487,16,16,16
hyacinth_preset_t30,1.318,16,16,16
hyacinth_preset_t40,1.191,16,16,16
hyacinth_preset_t50,1.242,16,16,16
hyacinth_preset_t60,0.966,16,16,16
hyacinth_preset_t70,0.905,16,16,16
hyacinth_preset_t80,0.985,16,16,16
hyacinth_preset_t90,1.026,16,16,16
