case_tag,seed,status,run_dir
mix10S_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_42
mix10S_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_43
mix10S_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_44
mix10S_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_45
mix10S_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_46
mix10S_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_47
mix10S_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_48
mix10S_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_49
mix10S_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_50
mix10S_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix10S/seed_51
mix3L2M1S_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_42
mix3L2M1S_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_43
mix3L2M1S_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_44
mix3L2M1S_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_45
mix3L2M1S_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_46
mix3L2M1S_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_47
mix3L2M1S_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_48
mix3L2M1S_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_49
mix3L2M1S_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_50
mix3L2M1S_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix3L2M1S/seed_51
mix5L_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_42
mix5L_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_43
mix5L_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_44
mix5L_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_45
mix5L_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_46
mix5L_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_47
mix5L_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_48
mix5L_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_49
mix5L_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_50
mix5L_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/mix/batch_20260510_155035_mix/mix5L/seed_51
