scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.980,17,17,17
helios_t20,1.206,17,17,17
helios_t30,1.411,17,17,17
helios_t40,1.766,17,17,17
helios_t50,6.577,17,17,17
helios_t60,34.499,17,17,17
helios_t70,9.627,17,17,17
helios_t80,31.471,17,17,17
helios_t90,7.143,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.060,17,17,17
hyacinth_preset_t20,1.021,17,17,17
hyacinth_preset_t30,1.025,17,17,17
hyacinth_preset_t40,1.022,17,17,17
hyacinth_preset_t50,0.999,17,17,17
hyacinth_preset_t60,1.043,17,17,17
hyacinth_preset_t70,1.066,17,17,17
hyacinth_preset_t80,1.210,17,17,17
hyacinth_preset_t90,1.338,17,17,17
