scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
ocs_eps_global_ksp,1.648465,17,17,17
pure_ocs_ksp,1.196437,17,17,17
eps_ecmp,0.700200,17,17,17
ocs_eps_large_small,1.374472,17,17,17
pure_ocs_ksp_greedy,1.381843,17,17,17
ocs_eps_preset_greedy,1.971865,17,17,17
ocs_eps_preset_dynamic_greedy,1.000000,17,17,17
pure_ocs_3hop_preset,1.482289,17,17,17
pure_ocs_pruned,1.482289,17,17,17
ocs_eps_pruned,1.131960,17,17,17
