model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,40,18,0.312500,"[2,3,5,7,10,11,13,15,17,19,20,27,29,30,31,32,34,37]","[253,158,22,27,247,44,254,262]|[95,255,143,142,157,93,29,43]|[62,261,238,167,166,110,222,26]|[20,278,277,223,85,125,92,21]|[109,28,221,46,91,84,94,276]|[260,263,108,246,123,86,124,45]|[126,302,237,87,30,239,303,63]|[47,111,127,141,279,159,31,23]"
L2,L,64,8,40,18,0.312500,"[2,4,6,8,11,15,18,20,21,22,24,26,27,32,33,34,35,37]","[195,213,275,36,175,122,180,173]|[69,219,268,273,151,174,19,39]|[70,89,55,66,183,270,164,90]|[199,35,217,88,220,286,215,162]|[214,163,269,120,182,259,67,197]|[68,272,300,285,37,65,165,287]|[181,299,196,298,121,258,71,301]|[218,271,38,54,198,53,18,274]"
L3,L,64,8,37,17,0.310345,"[1,2,3,4,5,6,7,8,13,20,22,23,25,27,33,36,39]","[107,106,58,216,10,177,265,33]|[267,294,9,160,15,105,201,190]|[41,264,14,206,187,51,204,317]|[64,61,48,60,295,319,24,25]|[205,292,161,314,176,266,104,50]|[207,316,189,49,291,17,178,179]|[52,34,13,59,318,315,16,202]|[42,11,32,188,203,191,293,12]"
M1,M,40,5,27,12,0.318182,"[0,7,9,12,14,16,17,19,23,26,30,37]","[212,132,139,244,245]|[154,2,6,4,130]|[210,155,297,131,243]|[209,7,119,186,102]|[140,79,75,116,134]|[103,76,118,129,57]|[5,78,211,135,117]|[74,156,133,3,77]"
M2,M,40,7,27,13,0.300000,"[1,7,10,12,16,18,25,28,31,35,36,37,39]","[229,231,146,282,283]|[8,289,101,100,228]|[226,82,249,81,200]|[227,225,99,281,150]|[149,313,284,248,252]|[144,296,230,290,251]|[148,145,83,56,147]|[128,80,250,98,97]"
S1,S,32,8,19,11,0.272727,"[5,12,14,17,19,21,24,29,32,35,38]","[194,311,307,235]|[280,152,115,232]|[169,306,114,40]|[153,136,137,305]|[138,236,257,310]|[233,172,192,168]|[113,170,308,193]|[309,234,171,96]"
