scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,2689.850611,3.032019,2689.850611,3.032019,80,0
pure_ocs_ksp,100.000000,1251.475955,1.410673,1251.475955,1.410673,80,0
eps_ecmp,100.000000,658.454462,0.742215,658.454462,0.742215,80,0
ocs_eps_large_small,100.000000,2115.845224,2.384996,2115.845224,2.384996,80,0
pure_ocs_ksp_greedy,100.000000,1084.679892,1.222659,1084.679892,1.222659,80,0
ocs_eps_preset_greedy,100.000000,1046.772174,1.179929,1046.772174,1.179929,80,0
ocs_eps_preset_dynamic_greedy,100.000000,887.148299,1.000000,887.148299,1.000000,80,0
pure_ocs_3hop_preset,100.000000,1159.599209,1.307109,1159.599209,1.307109,80,0
pure_ocs_pruned,100.000000,1159.599209,1.307109,1159.599209,1.307109,80,0
ocs_eps_pruned,100.000000,1126.625150,1.269940,1126.625150,1.269940,80,0
