scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.863,0.161
helios_t20,10,1.655,0.256
helios_t30,10,1.499,0.223
helios_t40,10,1.254,0.178
helios_t50,10,1.169,0.095
helios_t60,10,1.058,0.180
helios_t70,10,1.121,0.197
helios_t80,10,1.216,0.203
helios_t90,10,1.375,0.213
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.611,0.203
hyacinth_preset_t20,10,1.416,0.230
hyacinth_preset_t30,10,1.258,0.190
hyacinth_preset_t40,10,1.100,0.189
hyacinth_preset_t50,10,1.076,0.154
hyacinth_preset_t60,10,1.014,0.195
hyacinth_preset_t70,10,1.050,0.221
hyacinth_preset_t80,10,1.230,0.171
hyacinth_preset_t90,10,1.182,0.197
