scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.071,17,17,17
helios_t20,1.113,17,17,17
helios_t30,3.839,17,17,17
helios_t40,6.333,17,17,17
helios_t50,6.767,17,17,17
helios_t60,57.035,17,17,17
helios_t70,13.299,17,17,17
helios_t80,7.864,17,17,17
helios_t90,8.568,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,2.770,17,17,17
hyacinth_preset_t20,2.549,17,17,17
hyacinth_preset_t30,2.234,17,17,17
hyacinth_preset_t40,2.063,17,17,17
hyacinth_preset_t50,0.997,17,17,17
hyacinth_preset_t60,0.974,17,17,17
hyacinth_preset_t70,0.991,17,17,17
hyacinth_preset_t80,1.016,17,17,17
hyacinth_preset_t90,1.065,17,17,17
