scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,95.0,4847.442,1.841,4847.442,1.841,48,0
helios_t20,95.0,4490.351,1.705,4490.351,1.705,48,0
helios_t30,95.0,4316.201,1.639,4316.201,1.639,48,0
helios_t40,95.0,3187.896,1.211,3187.896,1.211,48,0
helios_t50,95.0,3169.456,1.204,3169.456,1.204,48,0
helios_t60,95.0,2886.556,1.096,2886.556,1.096,48,0
helios_t70,95.0,3489.609,1.325,3489.609,1.325,48,0
helios_t80,95.0,3480.343,1.322,3480.343,1.322,48,0
helios_t90,95.0,4379.358,1.663,4379.358,1.663,48,0
hyacinth_dynamic,95.0,2633.324,1.000,2633.324,1.000,48,0
hyacinth_preset_t10,95.0,4502.124,1.710,4502.124,1.710,48,0
hyacinth_preset_t20,95.0,3377.896,1.283,3377.896,1.283,48,0
hyacinth_preset_t30,95.0,2953.483,1.122,2953.483,1.122,48,0
hyacinth_preset_t40,95.0,2405.984,0.914,2405.984,0.914,48,0
hyacinth_preset_t50,95.0,2622.705,0.996,2622.705,0.996,48,0
hyacinth_preset_t60,95.0,2393.849,0.909,2393.849,0.909,48,0
hyacinth_preset_t70,95.0,2780.828,1.056,2780.828,1.056,48,0
hyacinth_preset_t80,95.0,3590.180,1.363,3590.180,1.363,48,0
hyacinth_preset_t90,95.0,3137.321,1.191,3137.321,1.191,48,0
