scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.955,17,17,17
helios_t20,1.750,17,17,17
helios_t30,2.086,17,17,17
helios_t40,3.880,17,17,17
helios_t50,4.541,17,17,17
helios_t60,3.727,17,17,17
helios_t70,4.706,17,17,17
helios_t80,6.500,17,17,17
helios_t90,8.289,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,2.441,17,17,17
hyacinth_preset_t20,1.678,17,17,17
hyacinth_preset_t30,1.581,17,17,17
hyacinth_preset_t40,1.400,17,17,17
hyacinth_preset_t50,0.981,17,17,17
hyacinth_preset_t60,0.899,17,17,17
hyacinth_preset_t70,0.963,17,17,17
hyacinth_preset_t80,0.935,17,17,17
hyacinth_preset_t90,1.042,17,17,17
