scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.977,16,16,16
helios_t20,1.455,16,16,16
helios_t30,1.921,16,16,16
helios_t40,8.330,16,16,16
helios_t50,3.977,16,16,16
helios_t60,8.575,16,16,16
helios_t70,9.692,16,16,16
helios_t80,7.082,16,16,16
helios_t90,45.196,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,1.031,16,16,16
hyacinth_preset_t20,1.032,16,16,16
hyacinth_preset_t30,1.010,16,16,16
hyacinth_preset_t40,1.048,16,16,16
hyacinth_preset_t50,1.036,16,16,16
hyacinth_preset_t60,1.045,16,16,16
hyacinth_preset_t70,1.126,16,16,16
hyacinth_preset_t80,1.218,16,16,16
hyacinth_preset_t90,1.424,16,16,16
