scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.975,16,16,16
helios_t20,1.299,16,16,16
helios_t30,1.941,16,16,16
helios_t40,3.014,16,16,16
helios_t50,3.625,16,16,16
helios_t60,4.412,16,16,16
helios_t70,4.785,16,16,16
helios_t80,4.812,16,16,16
helios_t90,7.096,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,2.142,16,16,16
hyacinth_preset_t20,1.862,16,16,16
hyacinth_preset_t30,1.454,16,16,16
hyacinth_preset_t40,1.200,16,16,16
hyacinth_preset_t50,1.184,16,16,16
hyacinth_preset_t60,1.024,16,16,16
hyacinth_preset_t70,1.026,16,16,16
hyacinth_preset_t80,0.987,16,16,16
hyacinth_preset_t90,1.065,16,16,16
