scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.937,16,16,16
helios_t20,1.319,16,16,16
helios_t30,1.757,16,16,16
helios_t40,4.329,16,16,16
helios_t50,11.823,16,16,16
helios_t60,6.713,16,16,16
helios_t70,6.296,16,16,16
helios_t80,4.524,16,16,16
helios_t90,14.490,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,2.165,16,16,16
hyacinth_preset_t20,1.992,16,16,16
hyacinth_preset_t30,1.593,16,16,16
hyacinth_preset_t40,1.096,16,16,16
hyacinth_preset_t50,1.058,16,16,16
hyacinth_preset_t60,1.014,16,16,16
hyacinth_preset_t70,1.012,16,16,16
hyacinth_preset_t80,0.998,16,16,16
hyacinth_preset_t90,1.080,16,16,16
