scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,2490.804635,2.406090,2490.804635,2.406090,80,0
pure_ocs_ksp,99.000000,1364.237464,1.317838,1364.237464,1.317838,80,0
eps_ecmp,99.000000,861.128564,0.831841,861.128564,0.831841,80,0
ocs_eps_large_small,99.000000,1122.670678,1.084487,1122.670678,1.084487,80,0
pure_ocs_ksp_greedy,99.000000,1179.813071,1.139686,1179.813071,1.139686,80,0
ocs_eps_preset_greedy,99.000000,981.181697,0.947811,981.181697,0.947811,80,0
ocs_eps_preset_dynamic_greedy,99.000000,1035.208586,1.000000,1035.208586,1.000000,80,0
pure_ocs_3hop_preset,99.000000,860.946425,0.831665,860.946425,0.831665,80,0
pure_ocs_pruned,99.000000,860.946425,0.831665,860.946425,0.831665,80,0
ocs_eps_pruned,99.000000,959.359996,0.926731,959.359996,0.926731,80,0
