case_base,seed,scheduler,avg_relative_fct_vs_dynamic
threshold_sweep,49,helios_t50,3.711
threshold_sweep,49,helios_t60,5.411
threshold_sweep,49,helios_t70,6.602
threshold_sweep,49,helios_t80,7.107
threshold_sweep,49,helios_t90,9.570
threshold_sweep,49,hyacinth_dynamic,1.000
threshold_sweep,49,hyacinth_preset_t10,1.024
threshold_sweep,49,hyacinth_preset_t20,0.994
threshold_sweep,49,hyacinth_preset_t30,1.012
threshold_sweep,49,hyacinth_preset_t40,1.025
threshold_sweep,49,hyacinth_preset_t50,1.015
threshold_sweep,49,hyacinth_preset_t60,1.017
threshold_sweep,49,hyacinth_preset_t70,1.064
threshold_sweep,49,hyacinth_preset_t80,1.154
threshold_sweep,49,hyacinth_preset_t90,1.242
threshold_sweep,50,helios_t10,0.977
threshold_sweep,50,helios_t20,1.455
threshold_sweep,50,helios_t30,1.921
threshold_sweep,50,helios_t40,8.330
threshold_sweep,50,helios_t50,3.977
threshold_sweep,50,helios_t60,8.575
threshold_sweep,50,helios_t70,9.692
threshold_sweep,50,helios_t80,7.082
threshold_sweep,50,helios_t90,45.196
threshold_sweep,50,hyacinth_dynamic,1.000
threshold_sweep,50,hyacinth_preset_t10,1.031
threshold_sweep,50,hyacinth_preset_t20,1.032
threshold_sweep,50,hyacinth_preset_t30,1.010
threshold_sweep,50,hyacinth_preset_t40,1.048
threshold_sweep,50,hyacinth_preset_t50,1.036
threshold_sweep,50,hyacinth_preset_t60,1.045
threshold_sweep,50,hyacinth_preset_t70,1.126
threshold_sweep,50,hyacinth_preset_t80,1.218
threshold_sweep,50,hyacinth_preset_t90,1.424
threshold_sweep,51,helios_t10,1.027
threshold_sweep,51,helios_t20,1.980
threshold_sweep,51,helios_t30,3.516
threshold_sweep,51,helios_t40,4.076
threshold_sweep,51,helios_t50,5.538
threshold_sweep,51,helios_t60,6.711
threshold_sweep,51,helios_t70,10.045
threshold_sweep,51,helios_t80,11.620
threshold_sweep,51,helios_t90,35.416
threshold_sweep,51,hyacinth_dynamic,1.000
threshold_sweep,51,hyacinth_preset_t10,1.064
threshold_sweep,51,hyacinth_preset_t20,1.030
threshold_sweep,51,hyacinth_preset_t30,1.032
threshold_sweep,51,hyacinth_preset_t40,1.011
threshold_sweep,51,hyacinth_preset_t50,1.049
threshold_sweep,51,hyacinth_preset_t60,1.052
threshold_sweep,51,hyacinth_preset_t70,1.106
threshold_sweep,51,hyacinth_preset_t80,1.195
threshold_sweep,51,hyacinth_preset_t90,1.417
