scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
ocs_eps_global_ksp,10,1.138,0.118
pure_ocs_ksp,10,1.365,0.203
eps_ecmp,10,0.378,0.058
pure_ocs_ksp_greedy,10,1.237,0.209
ocs_eps_preset_dynamic_greedy,10,1.000,0.000
pure_ocs_pruned,10,1.190,0.239
ocs_eps_pruned,10,0.889,0.243
ocs_eps_large_small,10,1.953,0.362
ocs_eps_preset_greedy,10,1.591,0.158
pure_ocs_3hop_preset,10,1.190,0.239
