model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[0,3,8,9,12,15,17,22,24,27,33,35,36,38,40,41,42,43,44,45,46,48,50,53,55,56,59,65,66,67,68,71,72,74,75,78]","[325,103,606,455,183,310,182,631]|[223,599,478,29,102,295,311,308]|[543,143,535,70,335,327,583,7]|[127,309,30,375,351,447,607,479]|[367,71,334,550,126,359,28,574]|[342,575,78,446,294,527,326,630]|[573,407,551,391,333,142,79,343]|[431,287,582,271,31,222,605,199]"
L2,L,64,8,64,36,0.500000,"[0,2,5,6,8,9,10,11,12,15,16,17,19,22,26,29,33,36,37,41,43,45,47,48,50,51,53,56,59,63,68,71,72,73,76,78]","[303,77,159,406,389,350,429,451]|[47,86,615,430,101,125,332,454]|[158,85,213,239,124,331,549,348]|[268,68,383,415,95,414,614,215]|[270,591,613,141,590,214,452,366]|[453,212,87,94,572,22,511,69]|[571,180,135,349,293,54,181,629]|[390,6,477,23,382,581,55,269]"
L3,L,64,8,64,36,0.500000,"[4,5,6,8,9,11,12,15,16,18,24,25,27,29,30,31,34,35,38,39,40,42,44,49,50,51,53,59,61,63,68,73,74,75,77,78]","[278,627,598,405,324,473,286,53]|[151,92,279,307,254,404,548,358]|[220,476,247,196,475,494,99,67]|[91,207,603,45,597,318,285,340]|[604,76,238,197,428,221,198,100]|[122,253,319,623,626,510,413,277]|[495,622,474,206,93,134,427,255]|[323,123,628,589,39,399,46,341]"
L4,L,64,8,64,36,0.500000,"[1,8,9,10,11,12,13,15,17,23,24,26,27,28,30,34,35,40,41,45,47,48,50,53,54,56,57,58,59,61,65,70,71,72,75,76]","[330,75,436,190,472,602,365,439]|[380,15,110,448,246,109,471,320]|[493,108,84,284,210,66,462,526]|[437,14,12,211,463,565,90,89]|[403,13,450,567,111,438,321,194]|[364,379,191,449,570,231,98,244]|[426,381,388,322,219,612,245,140]|[402,435,580,121,566,276,579,195]"
M1,M,40,5,40,22,0.485714,"[1,6,17,20,22,31,38,41,47,50,51,52,53,55,57,62,67,68,69,74,75,77]","[557,541,412,425,619]|[52,601,179,329,167]|[422,10,460,558,423]|[138,461,502,559,139]|[547,421,328,618,503]|[542,252,540,596,556]|[378,621,166,620,445]|[11,401,51,306,501]"
M2,M,40,5,40,22,0.485714,"[0,3,4,5,7,10,18,21,23,26,34,36,53,54,60,66,67,70,72,74,78,79]","[484,639,43,624,63]|[564,188,638,594,4]|[563,44,486,487,83]|[174,189,275,577,625]|[595,27,291,539,533]|[538,38,292,37,175]|[36,485,26,5,578]|[424,434,209,150,534]"
M3,M,40,6,40,23,0.500000,"[1,3,12,14,15,16,21,24,26,30,38,39,42,48,49,50,55,58,68,69,70,73,76]","[97,586,387,25,173]|[554,610,588,444,339]|[8,555,400,469,562]|[545,396,132,120,172]|[546,243,470,133,117]|[395,317,193,118,553]|[305,96,398,208,587]|[611,397,9,242,119]"
S1,S,32,5,32,18,0.481481,"[0,3,8,9,20,24,25,27,32,33,44,46,48,58,63,66,69,72]","[203,357,64,507]|[74,218,262,205]|[3,531,509,532]|[192,164,204,468]|[576,467,266,165]|[508,374,65,24]|[552,356,267,73]|[386,72,265,263]"
S2,S,32,5,32,18,0.481481,"[0,4,5,17,22,23,25,27,36,38,39,42,44,55,63,76,77,79]","[637,636,315,202]|[608,1,187,617]|[316,314,290,616]|[609,304,178,337]|[35,137,2,338]|[40,442,635,443]|[289,355,506,41]|[186,216,42,217]"
S3,S,32,5,32,18,0.481481,"[6,13,17,18,21,23,28,36,39,42,43,44,48,51,55,70,74,79]","[592,347,336,228]|[229,634,346,185]|[345,107,411,230]|[227,148,313,149]|[354,170,169,384]|[561,633,288,385]|[50,49,593,410]|[441,171,106,136]"
