case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
frag0p1_seed42,42,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed43,43,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed44,44,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed45,45,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed46,46,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed47,47,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed48,48,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed49,49,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed50,50,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p1_seed51,51,4L,3M,3S,0.1,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed42,42,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed43,43,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed44,44,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed45,45,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed46,46,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed47,47,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed48,48,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed49,49,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed50,50,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p3_seed51,51,4L,3M,3S,0.3,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed42,42,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed43,43,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed44,44,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed45,45,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed46,46,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed47,47,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed48,48,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed49,49,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed50,50,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p5_seed51,51,4L,3M,3S,0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed42,42,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed43,43,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed44,44,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed45,45,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed46,46,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed47,47,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed48,48,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed49,49,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed50,50,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p7_seed51,51,4L,3M,3S,0.7,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
frag0p9_seed42,42,4L,3M,3S,0.9,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
