scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
ocs_eps_global_ksp,4.496,25,25,25
pure_ocs_ksp,1.746,25,25,25
eps_ecmp,0.880,25,25,25
ocs_eps_large_small,2.179,25,25,25
pure_ocs_ksp_greedy,1.754,25,25,25
ocs_eps_preset_greedy,3.563,25,25,25
ocs_eps_preset_dynamic_greedy,1.000,25,25,25
pure_ocs_3hop_preset,1.662,25,25,25
pure_ocs_pruned,1.662,25,25,25
ocs_eps_pruned,1.522,25,25,25
