model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,58,0.892857,"[0,1,2,3,5,6,11,12,14,15,16,17,18,19,20,21,22,25,27,28,29,30,31,32,33,35,37,38,42,43,44,45,46,47,48,49,50,52,54,55,56,58,60,61,62,63,64,65,67,69,70,72,74,75,76,77,78,79]","[398,583,607,519,127,207,487,55]|[239,103,631,7,543,47,255,231]|[271,31,615,95,135,471,511,247]|[175,94,23,287,93,367,223,303]|[343,311,567,599,351,423,359,623]|[366,183,503,639,447,119,407,383]|[399,439,375,15,390,143,495,391]|[559,262,527,263,151,455,159,167]"
L2,L,64,8,64,58,0.892857,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,36,37,39,40,42,43,48,50,52,53,54,56,59,63,64,65,67,68,71,72,73,75,76,77,78,79]","[254,327,302,199,630,166,517,542]|[622,158,54,174,63,6,590,111]|[260,575,526,14,286,22,406,165]|[454,516,142,126,46,222,215,591]|[92,182,389,230,206,71,422,279]|[431,110,582,295,551,87,79,270]|[342,479,134,319,102,438,261,638]|[39,30,350,518,510,191,606,614]"
L3,L,64,9,64,58,0.890909,"[0,1,3,4,5,6,7,9,10,11,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,33,35,36,37,38,39,43,44,45,46,49,51,52,54,55,57,58,59,60,62,63,64,65,66,67,68,71,72,74,75,77,78]","[91,181,86,358,365,229,629,62]|[621,397,605,221,573,374,310,502]|[446,13,318,525,205,415,125,598]|[133,78,470,190,478,349,294,541]|[509,53,238,293,535,157,463,421]|[574,269,164,437,214,204,285,38]|[61,581,515,414,486,301,173,198]|[150,550,118,45,246,5,29,163]"
L4,L,64,9,64,58,0.890909,"[0,1,2,7,9,11,12,13,15,16,17,18,19,21,22,23,24,25,26,27,28,29,31,32,33,36,37,39,40,43,44,45,46,47,49,51,52,54,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,74,75,76,77,78]","[101,420,413,109,140,462,213,77]|[212,219,501,613,149,620,4,172]|[436,300,558,580,382,604,189,132]|[253,364,317,348,197,357,124,180]|[494,597,228,203,549,326,156,572]|[566,524,60,373,514,292,477,540]|[469,220,381,557,523,508,90,141]|[12,396,237,268,21,485,259,628]"
M1,M,40,6,40,37,0.911765,"[0,1,2,3,5,7,8,10,12,13,17,19,21,24,27,34,35,36,37,43,46,50,51,54,58,59,61,64,65,66,68,71,72,74,75,77,78]","[284,412,493,3,108]|[571,218,171,28,154]|[20,405,100,84,155]|[619,603,627,139,11]|[85,44,522,59,548]|[196,372,278,347,291]|[70,299,596,579,534]|[404,513,468,476,435]"
M2,M,40,7,40,37,0.909091,"[0,3,4,8,10,14,18,19,20,24,25,26,27,28,32,33,36,40,42,43,45,46,47,49,52,55,57,58,59,60,68,69,71,73,76,78,79]","[395,570,37,547,227]|[371,484,325,461,556]|[153,217,637,475,290]|[380,27,341,467,162]|[363,202,69,211,267]|[117,83,394,148,626]|[445,68,589,346,258]|[195,612,419,2,26]"
M3,M,40,7,40,37,0.909091,"[1,3,4,8,9,10,12,13,14,15,18,20,22,23,26,29,35,36,44,47,48,50,53,54,55,56,58,59,62,63,66,67,68,71,72,74,79]","[539,188,379,107,76]|[123,569,453,388,466]|[236,210,356,507,546]|[500,99,403,289,179]|[81,444,430,10,67]|[434,533,147,25,595]|[636,283,161,116,36]|[98,578,146,474,82]"
S1,S,32,5,32,29,0.888889,"[1,3,6,7,11,12,17,19,23,26,30,31,33,37,41,49,53,54,56,57,60,63,64,66,67,68,72,74,75]","[594,187,506,152]|[602,532,251,245]|[433,429,209,138]|[89,459,97,58]|[545,252,393,452]|[460,52,335,298]|[538,266,9,458]|[24,577,483,512]"
S2,S,32,6,32,29,0.884615,"[1,5,10,12,14,15,16,20,23,25,27,28,35,38,39,43,44,45,50,51,56,59,61,63,65,66,67,71,78]","[345,505,8,216]|[362,122,309,361]|[282,80,492,186]|[473,316,160,537]|[568,131,115,625]|[43,521,201,226]|[531,402,355,451]|[411,96,360,225]"
S3,S,32,6,32,29,0.884615,"[2,4,6,8,9,17,18,22,23,24,25,30,33,36,41,42,44,47,53,57,59,61,63,66,70,72,74,76,77]","[19,35,75,457]|[428,472,504,244]|[51,618,288,185]|[137,610,565,194]|[178,333,340,576]|[530,334,593,378]|[491,354,611,265]|[564,200,66,145]"
