scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.033,16,16,16
helios_t20,9.076,16,16,16
helios_t30,2.884,16,16,16
helios_t40,3.523,16,16,16
helios_t50,3.976,16,16,16
helios_t60,16.820,16,16,16
helios_t70,7.616,16,16,16
helios_t80,4.623,16,16,16
helios_t90,9.202,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,2.206,16,16,16
hyacinth_preset_t20,3.211,16,16,16
hyacinth_preset_t30,1.685,16,16,16
hyacinth_preset_t40,1.432,16,16,16
hyacinth_preset_t50,1.119,16,16,16
hyacinth_preset_t60,1.019,16,16,16
hyacinth_preset_t70,0.921,16,16,16
hyacinth_preset_t80,0.959,16,16,16
hyacinth_preset_t90,1.096,16,16,16
